Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,WEU,3.02598,2.26949,1.7551,1.59351,1.48783,1.46276,1.49433,1.54392,1.54311,1.45023,1.32819,1.22735,1.12636,1.00735,0.914082,0.880376,0.87324,0.858158,0.841833,0.841418,0.860153,0.899278,0.965113,1.0598,1.18717,1.39076,1.76777
regional_emissions,CEU,0.760393,0.570295,0.391578,0.362714,0.34024,0.313556,0.288965,0.271263,0.249904,0.21824,0.189423,0.1709,0.152117,0.126167,0.104656,0.0957738,0.092156,0.0868947,0.0816808,0.0801568,0.0830694,0.0907978,0.104777,0.125482,0.153782,0.199555,0.284885
regional_emissions,TUR,0.423751,0.317813,0.291996,0.274145,0.257574,0.248754,0.244528,0.240562,0.233474,0.221311,0.206683,0.192305,0.183026,0.180684,0.17684,0.164925,0.149873,0.137162,0.127315,0.120462,0.116778,0.116528,0.120161,0.127551,0.138981,0.159417,0.200012
regional_emissions,UKR,0.412367,0.309276,0.222698,0.222011,0.219376,0.200411,0.178651,0.16593,0.154165,0.136103,0.117825,0.103905,0.0924951,0.0816521,0.0727462,0.0667761,0.0621703,0.0575206,0.0535933,0.0519863,0.053112,0.0572416,0.0651563,0.0770399,0.0933715,0.119984,0.169904
regional_emissions,STAN,0.452766,0.368476,0.386704,0.377739,0.35147,0.321011,0.301367,0.299274,0.291675,0.263164,0.24669,0.266599,0.287398,0.27585,0.250339,0.233,0.220929,0.207758,0.195137,0.186218,0.180936,0.178772,0.1802,0.185344,0.194441,0.211822,0.247424
regional_emissions,RUS,1.78339,1.33754,1.32852,1.27927,1.19997,1.11062,1.01277,0.912202,0.84111,0.815672,0.785202,0.708389,0.627879,0.58383,0.553409,0.510638,0.462277,0.419241,0.383782,0.357199,0.339422,0.330416,0.330915,0.340485,0.35954,0.398524,0.481225
regional_emissions,ME,2.1014,1.57605,1.64574,1.72757,1.79459,1.83099,1.83824,1.82234,1.78267,1.71653,1.62942,1.52845,1.45483,1.434,1.42991,1.40996,1.38296,1.3609,1.34812,1.35651,1.39392,1.46773,1.58926,1.76136,1.99106,2.35626,3.02978
regional_emissions,INDIA,2.73772,2.05329,1.85458,1.87014,1.87844,1.90149,1.91627,1.90359,1.8513,1.74726,1.60512,1.43363,1.25711,1.08416,0.909336,0.737452,0.580155,0.441267,0.334308,0.286506,0.302828,0.386079,0.549403,0.793175,1.12584,1.6691,2.69448
regional_emissions,KOR,0.743365,0.557524,0.433922,0.391196,0.344734,0.303009,0.26611,0.232985,0.202732,0.174574,0.148901,0.125227,0.105033,0.0893607,0.077885,0.0697353,0.0631167,0.0567398,0.0514455,0.048818,0.0491218,0.0524832,0.0595613,0.0704487,0.0855566,0.110453,0.157593
regional_emissions,CHN,10.3365,7.75235,5.49981,4.87046,4.16675,3.54574,3.02954,2.60397,2.20323,1.77947,1.36208,0.972482,0.650332,0.408316,0.236712,0.115422,0.0167285,-0.0707786,-0.134843,-0.156862,-0.135169,-0.068682,0.0504137,0.221436,0.449839,0.817722,1.50806
regional_emissions,SEAS,1.51886,1.13914,1.03931,1.11888,1.10825,0.948502,0.791746,0.75113,0.741931,0.689711,0.644475,0.63686,0.610796,0.530176,0.444419,0.391141,0.353513,0.31431,0.280611,0.266144,0.273666,0.304752,0.365269,0.456542,0.582204,0.787405,1.1731
regional_emissions,INDO,1.64013,1.2301,0.847674,0.789817,0.73731,0.678569,0.623054,0.579361,0.540508,0.496941,0.445985,0.386224,0.326132,0.271088,0.222404,0.18064,0.144274,0.111792,0.0866339,0.0750829,0.0778422,0.0951498,0.129601,0.181106,0.25137,0.366313,0.583814
