Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,SEAS,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819,0.394819
population,INDO,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812,0.260812
population,JAP,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855,0.125855
population,OCE,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575,0.0341575
population,RSAS,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073,0.494073
population,RSAF,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262,0.17262
regional_emissions,CAN,0.511577,0.383683,0.25982,0.25239,0.2359,0.205065,0.173159,0.150954,0.130749,0.104544,0.0717306,0.0355015,-2.39954e-05,-0.0343121,-0.0707418,-0.114256,-0.167799,-9.26755e-07,-8.37776e-07,-1.00554e-06,-1.19859e-06,-1.42061e-06,-1.67514e-06,-1.9663e-06,-2.30166e-06,-2.69317e-06,-5.06253e-07
regional_emissions,USA,5.39382,4.04537,2.69691,2.14757,1.99017,1.84362,1.65504,1.41364,1.1453,0.862097,0.573897,0.287648,-0.000201012,-0.30758,-0.65471,-1.03962,-1.47011,3.2916e-06,8.16056e-07,9.76139e-07,1.15399e-06,1.35805e-06,1.59405e-06,1.86748e-06,2.18667e-06,2.56029e-06,-1.48136e-05
regional_emissions,MEX,0.572878,0.429658,0.294761,0.293337,0.288349,0.270929,0.243603,0.212458,0.179524,0.142832,0.100028,0.0516995,-3.67774e-05,-0.0555003,-0.118113,-0.191667,-0.279632,-9.98006e-07,-6.88178e-07,-8.2247e-07,-9.7743e-07,-1.15547e-06,-1.35931e-06,-1.59226e-06,-1.86042e-06,-2.17378e-06,8.73605e-07
regional_emissions,RCAM,0.302334,0.22675,0.16115,0.15555,0.152734,0.155173,0.157757,0.155353,0.144232,0.121962,0.0893292,0.0482457,-3.69559e-05,-0.0563879,-0.127661,-0.203224,-0.278794,-2.31651e-06,-6.7788e-07,-8.10704e-07,-9.64446e-07,-1.14103e-06,-1.34308e-06,-1.57399e-06,-1.83976e-06,-2.14845e-06,8.37906e-06
regional_emissions,BRA,1.57743,1.18307,0.807312,0.831411,0.850416,0.813315,0.700797,0.533073,0.370984,0.247772,0.162306,0.0900571,-6.74899e-05,-0.0952846,-0.179023,-0.273434,-0.39114,-3.88e-08,-5.76362e-07,-7.04291e-07,-8.5121e-07,-1.02148e-06,-1.21729e-06,-1.44026e-06,-1.69547e-06,-1.99201e-06,-4.34593e-06
regional_emissions,RSAM,1.38348,1.03761,0.774982,0.711651,0.679472,0.708773,0.690725,0.567841,0.42746,0.321304,0.225822,0.120188,-8.67629e-05,-0.130101,-0.268393,-0.422252,-0.598771,1.52624e-07,-3.02489e-07,-3.70401e-07,-4.50388e-07,-5.43019e-07,-6.4888e-07,-7.68661e-07,-9.04805e-07,-1.06277e-06,-3.74774e-06
regional_emissions,NAF,0.583268,0.437451,0.33914,0.329536,0.312183,0.290046,0.267093,0.245974,0.220319,0.183031,0.1323,0.0703111,-5.16502e-05,-0.0808126,-0.177253,-0.291601,-0.427992,-1.23192e-06,-4.79568e-07,-5.6235e-07,-6.5841e-07,-7.68245e-07,-8.93366e-07,-1.03606e-06,-1.20036e-06,-1.39339e-06,3.60514e-06
regional_emissions,WAF,1.817,1.39688,1.50599,1.25532,0.984289,0.912253,0.825323,0.593347,0.405568,0.34977,0.309373,0.199396,-0.000174317,-0.390593,-0.844837,-1.29908,-1.75333,3.23108e-06,2.11915e-06,2.79924e-06,3.58586e-06,4.5021e-06,5.56135e-06,6.77395e-06,8.16229e-06,9.75051e-06,-1.04404e-05
regional_emissions,EAF,0.283526,0.235405,0.276882,0.262127,0.226709,0.19963,0.178415,0.158974,0.142354,0.126025,0.0697102,-0.0011696,-0.0720504,-0.142931,-0.213812,-0.284693,-0.355574,-6.00943e-06,1.38919e-07,2.58518e-07,3.95319e-07,5.57191e-07,7.46249e-07,9.62537e-07,1.20843e-06,1.51791e-06,4.65466e-05
regional_emissions,SAF,0.507151,0.380364,0.272031,0.25182,0.236446,0.231032,0.221608,0.198978,0.166574,0.127878,0.0861226,0.0434526,-3.05952e-05,-0.0457565,-0.0959209,-0.150976,-0.212308,-1.01845e-06,-7.95514e-07,-9.61877e-07,-1.15418e-06,-1.37559e-06,-1.6294e-06,-1.91955e-06,-2.25324e-06,-2.64182e-06,-2.36604e-07
regional_emissions,WEU,3.13174,2.3488,1.56587,1.22792,1.14019,1.098,1.04678,0.950998,0.809753,0.629645,0.432334,0.225382,-0.000161009,-0.242293,-0.504891,-0.807382,-1.16596,2.13671e-06,4.66511e-07,5.74819e-07,6.97194e-07,8.37817e-07,1.00039e-06,1.18896e-06,1.40861e-06,1.66333e-06,-1.07767e-05
regional_emissions,CEU,0.784933,0.5887,0.392467,0.331414,0.316459,0.296909,0.268675,0.233135,0.191909,0.145423,0.0965851,0.047824,-3.25017e-05,-0.0460618,-0.0915161,-0.140231,-0.194614,-6.54552e-07,-8.27619e-07,-1.00531e-06,-1.21048e-06,-1.44702e-06,-1.71843e-06,-2.02865e-06,-2.38519e-06,-2.79998e-06,-2.65542e-06
regional_emissions,TUR,0.435783,0.326837,0.251374,0.235346,0.216526,0.201763,0.186822,0.16828,0.144352,0.113866,0.0786941,0.0406598,-2.93598e-05,-0.0448436,-0.0950267,-0.148149,-0.204397,-1.17222e-06,-8.1281e-07,-9.86115e-07,-1.18677e-06,-1.41786e-06,-1.68279e-06,-1.98566e-06,-2.33385e-06,-2.73885e-06,1.61965e-07
regional_emissions,UKR,0.403864,0.302898,0.201934,0.199793,0.200058,0.186322,0.165293,0.144374,0.120003,0.0898174,0.0585582,0.0289425,-2.0212e-05,-0.0296552,-0.0615592,-0.0968927,-0.136879,-1.04907e-06,-8.8983e-07,-1.07417e-06,-1.28673e-06,-1.53137e-06,-1.81194e-06,-2.1329e-06,-2.50236e-06,-2.93287e-06,-5.86197e-07
regional_emissions,STAN,0.485141,0.363856,0.259092,0.24102,0.215679,0.1868,0.161565,0.143422,0.121497,0.0911684,0.0624294,0.0352927,-2.77354e-05,-0.0423644,-0.0870719,-0.135243,-0.188981,-1.01402e-06,-8.29536e-07,-1.00491e-06,-1.20743e-06,-1.44073e-06,-1.70832e-06,-2.01424e-06,-2.36602e-06,-2.7755e-06,-6.2935e-07
regional_emissions,RUS,1.8782,1.40865,0.988791,0.92115,0.841011,0.756408,0.659946,0.55521,0.452789,0.350212,0.236638,0.115662,-7.76607e-05,-0.11518,-0.240099,-0.371185,-0.508781,2.47606e-07,-4.49703e-07,-5.62757e-07,-6.9609e-07,-8.50447e-07,-1.02721e-06,-1.22821e-06,-1.45741e-06,-1.72195e-06,-5.02669e-06
regional_emissions,ME,2.00627,1.5047,1.05168,1.03843,1.02652,0.992893,0.927365,0.832778,0.711883,0.562872,0.391408,0.203762,-0.000147237,-0.231018,-0.502618,-0.814097,-1.17341,1.58484e-06,4.91296e-07,6.13048e-07,7.49338e-07,9.07014e-07,1.09003e-06,1.30161e-06,1.54712e-06,1.83109e-06,-7.60272e-06
