Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,CAN,0.038904,0.0419514,0.0451395,0.0483266,0.0516132,0.0551267,0.0588594,0.0627485,0.066645,0.0704039,0.0739803,0.0773403,0.0803929,0.0830341,0.0851624,0.086763,0.0881646,0.0896739,0.0911667,0.0924604,0.0935685,0.0945401,0.0953698,0.0960439,0.0965706,0.0969556,0.0971711
population,USA,0.349791,0.370561,0.392506,0.414694,0.437261,0.46062,0.485213,0.511292,0.53831,0.565592,0.592742,0.619402,0.645087,0.669204,0.690844,0.709605,0.727411,0.745991,0.763977,0.779681,0.793231,0.805079,0.815171,0.823377,0.829797,0.834487,0.837111
population,MEX,0.121886,0.124667,0.126376,0.127194,0.127111,0.126096,0.124221,0.121615,0.118537,0.115247,0.111873,0.108474,0.104943,0.101148,0.09702,0.0925445,0.0878504,0.0831299,0.0786809,0.0747594,0.0713453,0.0683697,0.0658436,0.0637869,0.0621758,0.0609993,0.0603419
population,RCAM,0.0906754,0.0920307,0.0925746,0.0925028,0.091819,0.0904997,0.0886027,0.086228,0.0835611,0.0807772,0.0779221,0.0750069,0.0720315,0.0689905,0.0658659,0.0626421,0.0593244,0.0559652,0.052783,0.0499832,0.0475499,0.0454277,0.043625,0.0421576,0.0410085,0.0401693,0.0397002
population,BRA,0.208089,0.212317,0.215122,0.216579,0.216728,0.215594,0.213178,0.209498,0.204686,0.198899,0.192296,0.185011,0.177093,0.168553,0.159348,0.149476,0.139168,0.128785,0.118988,0.110356,0.102845,0.0962966,0.0907368,0.0862104,0.082665,0.080076,0.0786291
population,RSAM,0.215347,0.221215,0.225515,0.228469,0.229997,0.229997,0.228576,0.22591,0.222233,0.217765,0.21259,0.206745,0.200183,0.19284,0.184648,0.175622,0.166101,0.156546,0.147554,0.139624,0.132717,0.126697,0.121588,0.117428,0.114169,0.11179,0.11046
population,NAF,0.189802,0.19692,0.202503,0.206881,0.210043,0.211893,0.212343,0.211369,0.20921,0.206122,0.202162,0.197363,0.191859,0.185796,0.179261,0.172336,0.165145,0.157887,0.151029,0.144989,0.139736,0.135156,0.131266,0.1281,0.12562,0.123809,0.122797
population,WAF,0.51699,0.566471,0.615346,0.663154,0.70844,0.749704,0.786268,0.817831,0.844794,0.867563,0.885875,0.899445,0.908549,0.913441,0.913737,0.90951,0.903311,0.897713,0.892885,0.888488,0.884544,0.881144,0.878288,0.875954,0.874118,0.872779,0.872033
population,EAF,0.320153,0.348226,0.374804,0.399777,0.422508,0.442345,0.459113,0.472818,0.483717,0.492046,0.497702,0.50056,0.500758,0.498442,0.493559,0.48628,0.477889,0.469722,0.462218,0.455543,0.449681,0.444589,0.440279,0.436766,0.434011,0.432,0.430877
population,SAF,0.0554384,0.0578651,0.0600695,0.0619501,0.0635095,0.0647613,0.0656581,0.0661438,0.0661872,0.0657683,0.0648886,0.0635672,0.061872,0.0598783,0.0576413,0.0552163,0.0526783,0.0501241,0.0477154,0.0455927,0.043745,0.0421345,0.0407672,0.039654,0.0387821,0.0381453,0.0377895
population,WEU,0.434458,0.449229,0.464967,0.481281,0.498314,0.516263,0.535019,0.55426,0.573118,0.590766,0.60707,0.622024,0.635421,0.647021,0.656633,0.664359,0.67142,0.678896,0.686207,0.692568,0.698037,0.702826,0.70691,0.710229,0.712825,0.714721,0.715782
population,CEU,0.126763,0.126872,0.126858,0.126633,0.12633,0.126087,0.12584,0.125461,0.124777,0.123653,0.122148,0.120349,0.118247,0.115836,0.113201,0.11044,0.107591,0.104709,0.101982,0.0995808,0.0974937,0.0956738,0.0941279,0.0928696,0.0918841,0.0911644,0.0907621
population,TUR,0.083324,0.0859362,0.0880113,0.0896356,0.0907351,0.091221,0.0911059,0.0904382,0.0893085,0.0877995,0.0859214,0.0836811,0.0811443,0.0783761,0.0753781,0.0721551,0.0687869,0.0653952,0.0621956,0.0593763,0.0569226,0.0547838,0.0529679,0.0514894,0.0503314,0.0494857,0.0490131
population,UKR,0.055215,0.053834,0.0526781,0.0517307,0.0508682,0.0499676,0.0490133,0.0480067,0.0469085,0.0456723,0.0442636,0.0426649,0.0409148,0.0390623,0.037143,0.0351818,0.0331742,0.0311375,0.0292054,0.0275064,0.0260304,0.024743,0.0236491,0.0227588,0.0220616,0.0215525,0.0212679
population,STAN,0.0659491,0.0667981,0.0670493,0.0668895,0.0663148,0.06529,0.0638439,0.0620404,0.0600205,0.0579162,0.0557473,0.0535093,0.0512127,0.0488855,0.0466112,0.0444488,0.0423046,0.0401037,0.0379979,0.0361518,0.0345526,0.0331563,0.0319687,0.0310024,0.030246,0.0296936,0.0293847
population,RUS,0.158239,0.157443,0.156662,0.156064,0.155382,0.154306,0.152786,0.150834,0.148448,0.145595,0.142124,0.137918,0.133098,0.12784,0.122285,0.116541,0.110636,0.104655,0.0989871,0.0940011,0.0896681,0.0858891,0.0826788,0.0800657,0.0780193,0.0765249,0.0756895
population,ME,0.259917,0.278984,0.296498,0.312696,0.327099,0.339136,0.348602,0.355446,0.359891,0.362167,0.362277,0.360211,0.356145,0.350249,0.342475,0.332921,0.322471,0.312117,0.302467,0.293927,0.286464,0.279969,0.274462,0.269976,0.26646,0.263893,0.262459
population,INDIA,1.34946,1.40171,1.44538,1.48127,1.50861,1.52638,1.53421,1.53191,1.5194,1.49676,1.46456,1.42352,1.37452,1.31861,1.25736,1.19239,1.12496,1.0569,0.992568,0.935922,0.886653,0.843697,0.807217,0.777519,0.754259,0.737274,0.72778
population,KOR,0.0754445,0.0766457,0.0775912,0.0781624,0.078335,0.078124,0.0776078,0.0768721,0.0759691,0.0749186,0.073644,0.0720994,0.0704572,0.0688922,0.0673702,0.0658193,0.0642257,0.0626112,0.0610813,0.0597353,0.0585657,0.0575456,0.056679,0.0559736,0.0554212,0.0550178,0.0547923
population,CHN,1.41114,1.41084,1.40029,1.37983,1.34987,1.31104,1.26474,1.21254,1.15589,1.09627,1.03531,0.974336,0.913312,0.852032,0.79097,0.7304,0.66911,0.606668,0.54725,0.495056,0.449763,0.410239,0.376647,0.349308,0.327903,0.31227,0.303531
population,SEAS,0.38922,0.400917,0.40967,0.41566,0.418736,0.418763,0.416015,0.410875,0.403761,0.395038,0.384834,0.373218,0.360253,0.34603,0.33075,0.314643,0.297952,0.281094,0.265155,0.251121,0.238917,0.228276,0.219238,0.211881,0.206119,0.201912,0.19956
population,INDO,0.257901,0.26438,0.268954,0.271801,0.272834,0.271936,0.269154,0.264602,0.258522,0.251179,0.242818,0.233667,0.223907,0.213718,0.203302,0.192806,0.182123,0.171263,0.160944,0.151876,0.144002,0.137132,0.131294,0.126543,0.122823,0.120106,0.118587
population,JAP,0.127482,0.127046,0.126416,0.125645,0.124817,0.12402,0.123331,0.122747,0.121949,0.120647,0.118959,0.117067,0.114998,0.112773,0.110523,0.108365,0.106222,0.104023,0.10192,0.100076,0.0984789,0.0970841,0.095898,0.0949328,0.0941773,0.0936255,0.093317
population,OCE,0.0350397,0.0381815,0.0414072,0.0446201,0.0478904,0.0513048,0.0548504,0.0584686,0.0620147,0.06535,0.0684441,0.0712788,0.0737749,0.0758481,0.0774551,0.0786238,0.079628,0.0807177,0.081801,0.0827381,0.0835394,0.0842424,0.0848431,0.0853311,0.0857123,0.0859909,0.0861469
population,RSAS,0.481276,0.504644,0.524275,0.540169,0.552098,0.559821,0.563291,0.562649,0.558614,0.551919,0.542786,0.53134,0.517816,0.502496,0.485741,0.467926,0.449416,0.430738,0.413091,0.39755,0.384032,0.372246,0.362237,0.354089,0.347707,0.343047,0.340442
population,RSAF,0.167015,0.181326,0.195023,0.207943,0.21963,0.229658,0.238012,0.244806,0.250234,0.254458,0.25744,0.259128,0.259622,0.259006,0.257121,0.253932,0.250139,0.246486,0.243156,0.240186,0.23757,0.2353,0.233381,0.231816,0.230588,0.229692,0.229192
regional_emissions,CAN,0.560427,0.42635,0.455573,0.485542,0.499082,0.475029,0.456431,0.46338,0.491705,0.52679,0.543112,0.524854,0.490533,0.462094,0.454229,0.469236,0.492214,0.505635,0.512899,0.52282,0.538356,0.56175,0.600443,0.661799,0.755453,0.905342,1.16484
regional_emissions,USA,5.77138,4.32853,3.74135,3.71796,3.77309,3.73835,3.73623,3.74621,3.79113,3.86268,3.92969,3.97271,3.99626,4.00617,4.0428,4.09727,4.14872,4.1401,4.10362,4.10514,4.17328,4.33283,4.65497,5.20877,6.0866,7.52176,10.0378
regional_emissions,MEX,0.63438,0.475785,0.441814,0.470042,0.501727,0.504998,0.497398,0.47576,0.450008,0.423764,0.394073,0.359482,0.323837,0.290452,0.26192,0.235525,0.210702,0.184355,0.160644,0.14437,0.135776,0.134858,0.144787,0.168496,0.21015,0.281721,0.411402
regional_emissions,RCAM,0.318526,0.245549,0.282336,0.330754,0.380216,0.409313,0.434088,0.45383,0.459887,0.444649,0.41912,0.393875,0.366587,0.334888,0.307726,0.288909,0.273956,0.255863,0.238308,0.226497,0.220964,0.221862,0.23239,0.255617,0.295684,0.363956,0.486852
regional_emissions,BRA,1.87327,1.40495,0.936637,0.651384,0.551266,0.349073,0.11177,-0.10116,-0.209226,-0.285723,-0.368131,-0.434744,-0.498762,-0.583063,-0.649222,-0.65827,-0.622339,-0.584143,-0.539504,-0.477965,-0.406458,-0.333354,-0.260647,-0.190896,-0.125096,-0.0582252,0.0255598
regional_emissions,RSAM,1.53231,1.14923,0.766156,0.650206,0.603772,0.497636,0.348425,0.159227,0.00914393,-0.107477,-0.210946,-0.295929,-0.364034,-0.420888,-0.463546,-0.508006,-0.549102,-0.587657,-0.613656,-0.619667,-0.60706,-0.576309,-0.520608,-0.434364,-0.307749,-0.110158,0.231077
regional_emissions,NAF,0.655464,0.616936,0.713722,0.826329,0.934951,1.00891,1.0819,1.16776,1.25754,1.3346,1.38691,1.40679,1.39474,1.35506,1.30413,1.25213,1.2013,1.14841,1.09969,1.06215,1.03599,1.02084,1.02046,1.0384,1.07943,1.15747,1.30586
regional_emissions,WAF,2.01021,1.9448,2.12577,1.63823,1.21054,1.24616,1.36847,1.25713,1.17602,1.27935,1.40822,1.44809,1.408,1.29027,1.1118,0.859384,0.584569,0.275301,-0.0193533,-0.226433,-0.326827,-0.307259,-0.103071,0.347563,1.12816,2.46213,4.86309
regional_emissions,EAF,0.295096,0.327112,0.418428,0.450324,0.486015,0.555175,0.651047,0.746154,0.860661,1.00218,1.13788,1.24245,1.3161,1.3501,1.27717,1.20344,1.12969,1.05594,0.982209,0.908512,0.835029,0.808978,0.868925,1.00215,1.23222,1.6248,2.33222
regional_emissions,SAF,0.561438,0.421079,0.384074,0.403294,0.428514,0.432437,0.428281,0.409129,0.384292,0.357632,0.328975,0.298596,0.26694,0.233796,0.20156,0.168279,0.136688,0.105984,0.0803392,0.0634055,0.0543947,0.0524307,0.0593,0.0764786,0.106457,0.157705,0.251059
regional_emissions,WEU,3.41053,2.59938,2.64828,2.80075,3.05424,3.32346,3.63011,3.91349,4.13893,4.27503,4.34985,4.39948,4.43443,4.46168,4.52288,4.62541,4.74342,4.82636,4.8887,4.96625,5.07397,5.22506,5.45862,5.81241,6.33799,7.16592,8.58808
regional_emissions,CEU,0.813811,0.610359,0.569581,0.587048,0.611622,0.610692,0.608226,0.605661,0.598134,0.579234,0.556112,0.535645,0.513262,0.484649,0.457654,0.435503,0.415985,0.393472,0.372115,0.357581,0.350574,0.351412,0.363941,0.391823,0.440047,0.522342,0.67059
regional_emissions,TUR,0.445556,0.372806,0.396864,0.418289,0.438069,0.447544,0.457547,0.466523,0.474527,0.47932,0.478229,0.469961,0.456913,0.441242,0.423368,0.401472,0.378331,0.355125,0.334432,0.31867,0.307924,0.302155,0.30302,0.312028,0.331313,0.367208,0.434848
regional_emissions,UKR,0.450763,0.338073,0.335287,0.359185,0.373323,0.349181,0.322091,0.309585,0.29932,0.277441,0.249819,0.224645,0.204908,0.191266,0.18118,0.170703,0.16009,0.149045,0.139106,0.131988,0.127844,0.126743,0.129937,0.138584,0.154318,0.181791,0.23194
regional_emissions,STAN,0.515832,0.449271,0.472281,0.479145,0.471741,0.449998,0.437784,0.442366,0.445038,0.430109,0.418321,0.427493,0.434497,0.416728,0.389039,0.367772,0.350669,0.331675,0.313292,0.299049,0.28878,0.281884,0.279356,0.282199,0.291607,0.311232,0.350055
regional_emissions,RUS,2.00639,1.70334,1.79565,1.83591,1.82576,1.7451,1.66205,1.5955,1.55726,1.53888,1.49312,1.38871,1.27685,1.20752,1.16323,1.11303,1.05907,1.0049,0.956489,0.919459,0.894184,0.880783,0.883378,0.905742,0.95318,1.04121,1.20674
regional_emissions,ME,2.17542,1.82724,2.01229,2.23446,2.44419,2.54349,2.61428,2.6735,2.726,2.76217,2.78521,2.79977,2.7969,2.76566,2.71293,2.6348,2.54828,2.45667,2.37407,2.31682,2.28844,2.29188,2.34252,2.45475,2.64868,2.97967,3.57589
regional_emissions,INDIA,2.90969,2.46882,2.99466,3.58576,4.25311,4.80905,5.3085,5.65701,5.91153,6.08179,6.11231,5.97082,5.68843,5.29726,4.86061,4.37836,3.89918,3.42135,3.00505,2.70768,2.52553,2.45243,2.52229,2.76523,3.22629,4.04516,5.55873
regional_emissions,KOR,0.811501,0.608627,0.588397,0.570894,0.547609,0.509935,0.477121,0.446225,0.419574,0.39647,0.375322,0.354706,0.332331,0.307374,0.286311,0.271681,0.260051,0.246,0.232346,0.223139,0.218791,0.219404,0.227443,0.245274,0.276085,0.328628,0.42324
regional_emissions,CHN,11.8239,8.86791,8.53556,8.60602,8.3925,7.53428,6.61843,5.74881,4.99769,4.34617,3.76575,3.2403,2.76779,2.35165,2.01922,1.74853,1.51192,1.26807,1.05393,0.907279,0.82327,0.795299,0.839703,0.970918,1.21086,1.62991,2.39953
regional_emissions,SEAS,1.60742,1.35913,1.57999,1.77556,1.94139,2.01194,2.04392,2.02904,2.01553,2.02508,2.02478,1.98503,1.90518,1.79111,1.66652,1.53635,1.40879,1.27812,1.16165,1.07764,1.02616,1.00631,1.0293,1.10538,1.24922,1.50443,1.9749
regional_emissions,INDO,1.76787,1.3259,1.32574,1.44477,1.55092,1.53537,1.48469,1.42418,1.38105,1.35576,1.31292,1.22908,1.12691,1.02953,0.944205,0.861774,0.782792,0.700792,0.627513,0.575856,0.546043,0.537604,0.558592,0.616398,0.72159,0.905189,1.2408
regional_emissions,JAP,1.11392,0.835438,0.72359,0.738565,0.761184,0.749639,0.734993,0.71566,0.692875,0.662923,0.626931,0.588062,0.550322,0.516567,0.491177,0.470712,0.451816,0.427126,0.402442,0.386557,0.381659,0.389389,0.417206,0.472263,0.564223,0.718616,0.99382
regional_emissions,OCE,0.441868,0.331401,0.228662,0.249757,0.282872,0.287221,0.270774,0.23454,0.205991,0.194565,0.180008,0.152866,0.128331,0.11314,0.0975303,0.0726204,0.044631,0.0131578,-0.0171187,-0.0386291,-0.0492254,-0.0474885,-0.0266463,0.0198137,0.100611,0.238951,0.488118
regional_emissions,RSAS,0.448757,0.42056,0.548144,0.708217,0.897272,1.07883,1.27808,1.48695,1.69791,1.89646,2.07521,2.2278,2.3299,2.35816,2.33064,2.25412,2.16064,2.05924,1.96659,1.90504,1.88173,1.90273,1.99197,2.17193,2.47395,2.98231,3.89045
regional_emissions,RSAF,0.977975,0.733481,0.666137,0.870571,1.09281,1.13743,1.07767,0.994125,0.984917,1.09783,1.23678,1.31754,1.38176,1.46835,1.52444,1.49555,1.43023,1.37241,1.32721,1.29522,1.28015,1.287,1.32646,1.40806,1.5461,1.77958,2.19796
baseline,CAN,0.560427,0.617703,0.695468,0.777512,0.8352,0.851786,0.870511,0.93709,1.04715,1.1755,1.26373,1.26686,1.2267,1.20142,1.22777,1.32346,1.45145,1.57021,1.67513,1.76982,1.85407,1.92692,1.98828,2.03838,2.07775,2.10647,2.12249
baseline,USA,5.77138,5.81206,5.92676,6.21133,6.6218,7.09132,7.60151,8.15074,8.75603,9.41948,10.065,10.6253,11.1477,11.708,12.3821,13.2158,14.1338,15.0413,15.8855,16.6331,17.2868,17.8557,18.3378,18.7306,19.0385,19.2633,19.3888
baseline,MEX,0.63438,0.685441,0.758894,0.862237,0.978915,1.08781,1.17359,1.22718,1.25878,1.27814,1.27411,1.23725,1.18583,1.14078,1.10584,1.07948,1.0562,1.03122,1.00656,0.985182,0.966853,0.950785,0.937069,0.925924,0.917213,0.910848,0.907286
baseline,RCAM,0.318526,0.369759,0.451051,0.557957,0.674619,0.786594,0.896529,1.00442,1.08258,1.10726,1.09817,1.07949,1.04967,1.00659,0.971356,0.962749,0.96684,0.96623,0.962324,0.959932,0.95871,0.957368,0.956001,0.954955,0.954194,0.953624,0.953291
baseline,BRA,1.87327,2.26329,2.57906,2.78376,3.07836,3.57149,3.76457,3.24501,2.55111,2.27284,2.25581,2.23225,2.22501,2.284,2.2765,2.07904,1.78781,1.52522,1.29912,1.09307,0.908169,0.748796,0.614956,0.505556,0.419481,0.356727,0.321744
baseline,RSAM,1.53231,1.80824,2.04175,2.20969,2.47797,2.94955,3.2864,3.18809,2.94557,2.89255,2.94254,2.9367,2.84709,2.6888,2.51812,2.38446,2.26853,2.14321,2.01895,1.91136,1.81928,1.73852,1.66953,1.61349,1.5697,1.53769,1.51978
baseline,NAF,0.655464,0.781874,0.932839,1.11023,1.28789,1.44377,1.60025,1.78076,1.96862,2.13807,2.26732,2.34015,2.35861,2.33249,2.28407,2.23405,2.18432,2.13332,2.08457,2.04182,2.00477,1.97243,1.94492,1.92254,1.90502,1.89223,1.88508
baseline,WAF,2.01021,3.51781,4.2338,3.57722,2.88841,3.44678,4.36665,4.65047,5.01824,6.28899,7.96033,9.36857,10.5262,11.547,12.2742,12.576,12.6916,12.8802,13.1089,13.2945,13.4428,13.5764,13.6932,13.7873,13.8602,13.9136,13.9436
baseline,EAF,0.295096,0.517256,0.708381,0.812277,0.930259,1.16846,1.49477,1.86472,2.32254,2.9036,3.51907,4.07381,4.57172,5.01348,5.28772,5.31065,5.22068,5.17126,5.15364,5.12896,5.10001,5.07718,5.05978,5.04503,5.03297,5.02429,5.01956
baseline,SAF,0.561438,0.629228,0.700924,0.794072,0.906715,1.02877,1.13715,1.21215,1.26054,1.29207,1.30179,1.28466,1.25007,1.20796,1.15617,1.09175,1.02072,0.950543,0.885277,0.827472,0.77692,0.732934,0.695652,0.66528,0.641473,0.624093,0.614384
baseline,WEU,3.41053,3.51377,3.72872,4.09137,4.61409,5.28843,6.04598,6.80189,7.46536,7.96953,8.34925,8.66059,8.94255,9.2362,9.60782,10.1035,10.6632,11.2118,11.7186,12.1686,12.5629,12.9058,13.1961,13.4328,13.6183,13.7537,13.8294
baseline,CEU,0.813811,0.837372,0.874748,0.946529,1.03143,1.10501,1.17211,1.23923,1.29038,1.31087,1.3138,1.31403,1.30582,1.28341,1.26145,1.25428,1.25446,1.25187,1.24747,1.24421,1.24188,1.23969,1.23769,1.2361,1.23489,1.234,1.2335
baseline,TUR,0.445556,0.503135,0.557732,0.609752,0.660252,0.710222,0.759726,0.808109,0.852757,0.89002,0.914071,0.921048,0.917142,0.908962,0.894736,0.872216,0.84565,0.819994,0.796564,0.775674,0.757295,0.741338,0.727843,0.716841,0.708209,0.701909,0.698391
baseline,UKR,0.450763,0.474747,0.512995,0.576654,0.626547,0.628252,0.616683,0.628816,0.640529,0.622363,0.584599,0.545528,0.51573,0.500704,0.493313,0.485238,0.476043,0.467058,0.458773,0.451413,0.444957,0.439346,0.434595,0.430724,0.427687,0.425471,0.424233
baseline,STAN,0.515832,0.568923,0.616702,0.643097,0.649082,0.643121,0.646594,0.673512,0.695497,0.6878,0.682564,0.709695,0.733237,0.715763,0.679825,0.654633,0.636053,0.614545,0.592282,0.573287,0.557265,0.543134,0.531002,0.521164,0.513493,0.507883,0.504739
baseline,RUS,2.00639,2.23749,2.44579,2.58355,2.64653,2.64753,2.62387,2.61369,2.63391,2.67759,2.6636,2.53117,2.37539,2.29665,2.26098,2.21454,2.15825,2.10437,2.05552,2.01185,1.97333,1.93992,1.91169,1.88867,1.8706,1.85741,1.85005
baseline,ME,2.17542,2.48972,2.8595,3.29831,3.73541,4.10188,4.42028,4.72517,5.00742,5.25137,5.45896,5.63426,5.77232,5.86651,5.91257,5.91287,5.89405,5.88201,5.87553,5.86828,5.86071,5.85452,5.8496,5.84549,5.84219,5.8398,5.83849
