Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
regional_emissions,RSAM,GtCO2/yr,1.38348,1.5526,1.65161,1.66018,1.73468,1.98934,2.19415,2.13263,1.98562,1.97095,2.05905,2.16503,2.22915,2.2195,2.19027,2.19863,2.22807
regional_emissions,NAF,GtCO2/yr,0.583268,0.66482,0.732687,0.780242,0.808522,0.825051,0.858896,0.934096,1.03373,1.13299,1.21602,1.27523,1.32604,1.38512,1.45213,1.52321,1.597
regional_emissions,WAF,GtCO2/yr,1.817,2.79558,3.32197,3.04948,2.62621,2.68211,2.74983,2.33812,1.97569,2.24737,2.94945,3.74725,4.56236,5.38551,6.22512,7.08932,7.97098
regional_emissions,EAF,GtCO2/yr,0.283526,0.469212,0.607725,0.634056,0.603113,0.586041,0.594138,0.626463,0.693729,0.810305,0.994282,1.25987,1.60272,2.00303,2.39705,2.7317,3.039
regional_emissions,SAF,GtCO2/yr,0.507151,0.556463,0.581453,0.58894,0.604577,0.64877,0.703713,0.746607,0.772763,0.783231,0.783918,0.781255,0.778813,0.778772,0.780751,0.783873,0.787664
regional_emissions,WEU,GtCO2/yr,3.13174,2.9774,2.86039,2.80564,2.85218,3.02362,3.26796,3.51651,3.7104,3.81735,3.9029,4.02557,4.11502,4.10791,4.09873,4.18561,4.32284
regional_emissions,CEU,GtCO2/yr,0.784933,0.76125,0.744534,0.762621,0.796029,0.820394,0.839906,0.861867,0.878228,0.879975,0.869836,0.851702,0.821507,0.778067,0.740135,0.72436,0.719121
regional_emissions,TUR,GtCO2/yr,0.435783,0.494793,0.533934,0.546629,0.550073,0.563415,0.590432,0.628826,0.667276,0.695252,0.714401,0.729399,0.744738,0.762158,0.772757,0.768879,0.758301
regional_emissions,UKR,GtCO2/yr,0.403864,0.404391,0.419988,0.466004,0.510121,0.521533,0.523075,0.54001,0.555389,0.549372,0.53263,0.519998,0.511458,0.504324,0.500769,0.502926,0.507801
regional_emissions,STAN,GtCO2/yr,0.485141,0.531112,0.562823,0.571103,0.556311,0.526748,0.513113,0.536541,0.561057,0.555757,0.565759,0.631899,0.701527,0.718672,0.706964,0.701076,0.700523
regional_emissions,RUS,GtCO2/yr,1.8782,1.99982,2.09223,2.12918,2.12225,2.09287,2.06319,2.052,2.07209,2.12017,2.1327,2.06121,1.97514,1.94654,1.94261,1.91786,1.88022
regional_emissions,ME,GtCO2/yr,2.00627,2.12458,2.2491,2.43172,2.62916,2.79261,2.94872,3.12826,3.30652,3.45296,3.56994,3.67233,3.79024,3.94467,4.10649,4.24506,4.37338
regional_emissions,INDIA,GtCO2/yr,2.77719,3.47423,4.11557,4.66226,5.25343,6.0186,6.88282,7.7456,8.60453,9.455,10.1882,10.7151,11.1224,11.5029,11.8061,11.9795,12.1008
regional_emissions,KOR,GtCO2/yr,0.784572,0.836902,0.866968,0.86412,0.842869,0.819431,0.794942,0.767299,0.73647,0.702478,0.663566,0.619018,0.574205,0.535287,0.505405,0.485322,0.469182
regional_emissions,CHN,GtCO2/yr,11.3913,12.6008,13.3211,13.5515,13.4823,13.267,12.9024,12.3666,11.6911,10.9094,10.0357,9.10322,8.22936,7.52787,7.01665,6.6706,6.38747
regional_emissions,SEAS,GtCO2/yr,1.51417,1.83417,2.11254,2.27472,2.33563,2.3424,2.38436,2.52683,2.6979,2.82281,2.95115,3.12759,3.25426,3.24901,3.23255,3.3306,3.48949
regional_emissions,INDO,GtCO2/yr,1.63506,1.74108,1.82232,1.9101,1.95981,1.93276,1.89917,1.93169,2.00824,2.08605,2.13244,2.13064,2.11686,2.1282,2.15426,2.17767,2.19942
regional_emissions,JAP,GtCO2/yr,1.06462,1.01039,0.969801,0.948723,0.944726,0.952981,0.969067,0.987315,0.996262,0.985993,0.958505,0.920636,0.886449,0.867372,0.857172,0.847128,0.836236
regional_emissions,OCE,GtCO2/yr,0.388396,0.370826,0.368554,0.421271,0.491187,0.529778,0.523765,0.48074,0.456047,0.491807,0.529786,0.511596,0.478588,0.480695,0.502796,0.520032,0.533446
regional_emissions,RSAS,GtCO2/yr,0.417044,0.549174,0.68838,0.827199,0.981095,1.16963,1.40669,1.69641,2.00952,2.3187,2.63765,2.98495,3.35757,3.74962,4.16396,4.60248,5.05615
regional_emissions,RSAF,GtCO2/yr,0.786528,0.730453,0.80862,1.17419,1.48975,1.41977,1.15832,0.984184,0.957515,1.07292,1.28697,1.54733,1.80467,2.02657,2.24226,2.48438,2.74122
baseline,CAN,GtCO2/yr,0.511577,0.520255,0.546027,0.580054,0.59354,0.567635,0.542886,0.560011,0.600683,0.635362,0.649154,0.635722,0.60799,0.583077,0.575459,0.593401,0.623138
baseline,USA,GtCO2/yr,5.39382,5.16695,4.9751,4.93317,4.99496,5.08359,5.16515,5.21906,5.23521,5.21092,5.16342,5.11941,5.12115,5.19582,5.2958,5.37048,5.43183
baseline,MEX,GtCO2/yr,0.572878,0.591305,0.625642,0.681384,0.733235,0.757907,0.771863,0.796526,0.833057,0.875825,0.912283,0.932124,0.940918,0.94852,0.965971,1.00054,1.04344
baseline,RCAM,GtCO2/yr,0.302334,0.32147,0.343243,0.363002,0.390579,0.436937,0.503438,0.586761,0.674327,0.753507,0.82079,0.876162,0.924328,0.969813,1.0117,1.04879,1.08423
baseline,BRA,GtCO2/yr,1.57743,1.61827,1.71251,1.92651,2.15331,2.26254,2.20613,1.98435,1.70846,1.50724,1.46828,1.61067,1.72148,1.61603,1.45331,1.41731,1.44988
baseline,RSAM,GtCO2/yr,1.38348,1.55349,1.65257,1.66114,1.73568,1.99049,2.19542,2.13386,1.98676,1.97209,2.06024,2.16629,2.23044,2.22078,2.19153,2.1999,2.22936
baseline,NAF,GtCO2/yr,0.583268,0.665204,0.73311,0.780693,0.808989,0.825528,0.859392,0.934636,1.03433,1.13365,1.21672,1.27596,1.32681,1.38592,1.45297,1.52409,1.59792
