Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,CAN,0.038904,0.0419514,0.0451395,0.0483266,0.0516132,0.0551267,0.0588594,0.0627485,0.066645,0.0704039,0.0739803,0.0773403,0.0803929,0.0830341,0.0851624,0.086763,0.0881646,0.0896739,0.0911667,0.0924604,0.0935685,0.0945401,0.0953698,0.0960439,0.0965706,0.0969556,0.0971711
population,USA,0.349791,0.370561,0.392506,0.414694,0.437261,0.46062,0.485213,0.511292,0.53831,0.565592,0.592742,0.619402,0.645087,0.669204,0.690844,0.709605,0.727411,0.745991,0.763977,0.779681,0.793231,0.805079,0.815171,0.823377,0.829797,0.834487,0.837111
population,MEX,0.121886,0.124667,0.126376,0.127194,0.127111,0.126096,0.124221,0.121615,0.118537,0.115247,0.111873,0.108474,0.104943,0.101148,0.09702,0.0925445,0.0878504,0.0831299,0.0786809,0.0747594,0.0713453,0.0683697,0.0658436,0.0637869,0.0621758,0.0609993,0.0603419
population,RCAM,0.0906754,0.0920307,0.0925746,0.0925028,0.091819,0.0904997,0.0886027,0.086228,0.0835611,0.0807772,0.0779221,0.0750069,0.0720315,0.0689905,0.0658659,0.0626421,0.0593244,0.0559652,0.052783,0.0499832,0.0475499,0.0454277,0.043625,0.0421576,0.0410085,0.0401693,0.0397002
population,BRA,0.208089,0.212317,0.215122,0.216579,0.216728,0.215594,0.213178,0.209498,0.204686,0.198899,0.192296,0.185011,0.177093,0.168553,0.159348,0.149476,0.139168,0.128785,0.118988,0.110356,0.102845,0.0962966,0.0907368,0.0862104,0.082665,0.080076,0.0786291
population,RSAM,0.215347,0.221215,0.225515,0.228469,0.229997,0.229997,0.228576,0.22591,0.222233,0.217765,0.21259,0.206745,0.200183,0.19284,0.184648,0.175622,0.166101,0.156546,0.147554,0.139624,0.132717,0.126697,0.121588,0.117428,0.114169,0.11179,0.11046
population,NAF,0.189802,0.19692,0.202503,0.206881,0.210043,0.211893,0.212343,0.211369,0.20921,0.206122,0.202162,0.197363,0.191859,0.185796,0.179261,0.172336,0.165145,0.157887,0.151029,0.144989,0.139736,0.135156,0.131266,0.1281,0.12562,0.123809,0.122797
population,WAF,0.51699,0.566471,0.615346,0.663154,0.70844,0.749704,0.786268,0.817831,0.844794,0.867563,0.885875,0.899445,0.908549,0.913441,0.913737,0.90951,0.903311,0.897713,0.892885,0.888488,0.884544,0.881144,0.878288,0.875954,0.874118,0.872779,0.872033
population,EAF,0.320153,0.348226,0.374804,0.399777,0.422508,0.442345,0.459113,0.472818,0.483717,0.492046,0.497702,0.50056,0.500758,0.498442,0.493559,0.48628,0.477889,0.469722,0.462218,0.455543,0.449681,0.444589,0.440279,0.436766,0.434011,0.432,0.430877
population,SAF,0.0554384,0.0578651,0.0600695,0.0619501,0.0635095,0.0647613,0.0656581,0.0661438,0.0661872,0.0657683,0.0648886,0.0635672,0.061872,0.0598783,0.0576413,0.0552163,0.0526783,0.0501241,0.0477154,0.0455927,0.043745,0.0421345,0.0407672,0.039654,0.0387821,0.0381453,0.0377895
population,WEU,0.434458,0.449229,0.464967,0.481281,0.498314,0.516263,0.535019,0.55426,0.573118,0.590766,0.60707,0.622024,0.635421,0.647021,0.656633,0.664359,0.67142,0.678896,0.686207,0.692568,0.698037,0.702826,0.70691,0.710229,0.712825,0.714721,0.715782
population,CEU,0.126763,0.126872,0.126858,0.126633,0.12633,0.126087,0.12584,0.125461,0.124777,0.123653,0.122148,0.120349,0.118247,0.115836,0.113201,0.11044,0.107591,0.104709,0.101982,0.0995808,0.0974937,0.0956738,0.0941279,0.0928696,0.0918841,0.0911644,0.0907621
population,TUR,0.083324,0.0859362,0.0880113,0.0896356,0.0907351,0.091221,0.0911059,0.0904382,0.0893085,0.0877995,0.0859214,0.0836811,0.0811443,0.0783761,0.0753781,0.0721551,0.0687869,0.0653952,0.0621956,0.0593763,0.0569226,0.0547838,0.0529679,0.0514894,0.0503314,0.0494857,0.0490131
population,UKR,0.055215,0.053834,0.0526781,0.0517307,0.0508682,0.0499676,0.0490133,0.0480067,0.0469085,0.0456723,0.0442636,0.0426649,0.0409148,0.0390623,0.037143,0.0351818,0.0331742,0.0311375,0.0292054,0.0275064,0.0260304,0.024743,0.0236491,0.0227588,0.0220616,0.0215525,0.0212679
population,STAN,0.0659491,0.0667981,0.0670493,0.0668895,0.0663148,0.06529,0.0638439,0.0620404,0.0600205,0.0579162,0.0557473,0.0535093,0.0512127,0.0488855,0.0466112,0.0444488,0.0423046,0.0401037,0.0379979,0.0361518,0.0345526,0.0331563,0.0319687,0.0310024,0.030246,0.0296936,0.0293847
population,RUS,0.158239,0.157443,0.156662,0.156064,0.155382,0.154306,0.152786,0.150834,0.148448,0.145595,0.142124,0.137918,0.133098,0.12784,0.122285,0.116541,0.110636,0.104655,0.0989871,0.0940011,0.0896681,0.0858891,0.0826788,0.0800657,0.0780193,0.0765249,0.0756895
population,ME,0.259917,0.278984,0.296498,0.312696,0.327099,0.339136,0.348602,0.355446,0.359891,0.362167,0.362277,0.360211,0.356145,0.350249,0.342475,0.332921,0.322471,0.312117,0.302467,0.293927,0.286464,0.279969,0.274462,0.269976,0.26646,0.263893,0.262459
population,INDIA,1.34946,1.40171,1.44538,1.48127,1.50861,1.52638,1.53421,1.53191,1.5194,1.49676,1.46456,1.42352,1.37452,1.31861,1.25736,1.19239,1.12496,1.0569,0.992568,0.935922,0.886653,0.843697,0.807217,0.777519,0.754259,0.737274,0.72778
population,KOR,0.0754445,0.0766457,0.0775912,0.0781624,0.078335,0.078124,0.0776078,0.0768721,0.0759691,0.0749186,0.073644,0.0720994,0.0704572,0.0688922,0.0673702,0.0658193,0.0642257,0.0626112,0.0610813,0.0597353,0.0585657,0.0575456,0.056679,0.0559736,0.0554212,0.0550178,0.0547923
population,CHN,1.41114,1.41084,1.40029,1.37983,1.34987,1.31104,1.26474,1.21254,1.15589,1.09627,1.03531,0.974336,0.913312,0.852032,0.79097,0.7304,0.66911,0.606668,0.54725,0.495056,0.449763,0.410239,0.376647,0.349308,0.327903,0.31227,0.303531
population,SEAS,0.38922,0.400917,0.40967,0.41566,0.418736,0.418763,0.416015,0.410875,0.403761,0.395038,0.384834,0.373218,0.360253,0.34603,0.33075,0.314643,0.297952,0.281094,0.265155,0.251121,0.238917,0.228276,0.219238,0.211881,0.206119,0.201912,0.19956
population,INDO,0.257901,0.26438,0.268954,0.271801,0.272834,0.271936,0.269154,0.264602,0.258522,0.251179,0.242818,0.233667,0.223907,0.213718,0.203302,0.192806,0.182123,0.171263,0.160944,0.151876,0.144002,0.137132,0.131294,0.126543,0.122823,0.120106,0.118587
population,JAP,0.127482,0.127046,0.126416,0.125645,0.124817,0.12402,0.123331,0.122747,0.121949,0.120647,0.118959,0.117067,0.114998,0.112773,0.110523,0.108365,0.106222,0.104023,0.10192,0.100076,0.0984789,0.0970841,0.095898,0.0949328,0.0941773,0.0936255,0.093317
population,OCE,0.0350397,0.0381815,0.0414072,0.0446201,0.0478904,0.0513048,0.0548504,0.0584686,0.0620147,0.06535,0.0684441,0.0712788,0.0737749,0.0758481,0.0774551,0.0786238,0.079628,0.0807177,0.081801,0.0827381,0.0835394,0.0842424,0.0848431,0.0853311,0.0857123,0.0859909,0.0861469
population,RSAS,0.481276,0.504644,0.524275,0.540169,0.552098,0.559821,0.563291,0.562649,0.558614,0.551919,0.542786,0.53134,0.517816,0.502496,0.485741,0.467926,0.449416,0.430738,0.413091,0.39755,0.384032,0.372246,0.362237,0.354089,0.347707,0.343047,0.340442
population,RSAF,0.167015,0.181326,0.195023,0.207943,0.21963,0.229658,0.238012,0.244806,0.250234,0.254458,0.25744,0.259128,0.259622,0.259006,0.257121,0.253932,0.250139,0.246486,0.243156,0.240186,0.23757,0.2353,0.233381,0.231816,0.230588,0.229692,0.229192
regional_emissions,CAN,0.560427,0.420321,0.385379,0.378614,0.345871,0.288524,0.228451,0.174522,0.111272,0.0219303,-0.100757,-0.240571,-0.380515,-0.371635,-0.352471,-0.349939,-0.349521,0.0257573,0.0512692,0.077662,0.103083,0.126702,0.148331,0.16691,0.181844,0.192903,0.198502
regional_emissions,USA,5.77138,4.32853,2.88569,2.25134,1.91214,1.53377,1.08989,0.560049,-0.0924715,-0.910195,-1.92128,-3.12665,-4.53845,-4.57238,-4.42538,-4.31412,-4.17646,-0.363134,-0.0719428,0.219477,0.49353,0.744718,0.97185,1.16493,1.31886,1.43256,1.48908
regional_emissions,MEX,0.63438,0.504598,0.508169,0.511539,0.496231,0.448989,0.36402,0.234405,0.0758283,-0.0827604,-0.241351,-0.399941,-0.558528,-0.607611,-0.586352,-0.567069,-0.552805,-0.243603,-0.253799,-0.264648,-0.275859,-0.287278,-0.297786,-0.307002,-0.314849,-0.320842,-0.324567
regional_emissions,RCAM,0.318526,0.299559,0.336975,0.375314,0.395109,0.322125,0.242494,0.162863,0.0832319,0.00360072,-0.0760305,-0.155662,-0.235293,-0.314923,-0.394553,-0.47418,-0.553797,-0.351802,-0.379701,-0.406889,-0.433244,-0.458601,-0.481636,-0.501788,-0.518899,-0.5323,-0.540853
regional_emissions,BRA,1.87327,1.40496,1.27799,1.0512,0.761482,0.338831,-0.129478,-0.597785,-0.980979,-1.30633,-1.74535,-2.20656,-2.22501,-2.28399,-2.27649,-2.07904,-1.7878,-1.31404,-1.17441,-1.03939,-0.906249,-0.748667,-0.614874,-0.505486,-0.419415,-0.356659,-0.32167
regional_emissions,RSAM,1.53231,1.14923,1.04639,0.87287,0.528289,0.145214,-0.237861,-0.620937,-1.00401,-1.38709,-1.77016,-2.15324,-2.53631,-2.68879,-2.51811,-2.38446,-2.26852,-1.67355,-1.62401,-1.58559,-1.55655,-1.53377,-1.51485,-1.50011,-1.48955,-1.48203,-1.47882
regional_emissions,NAF,0.655464,0.705795,0.811863,0.924381,1.01765,1.07442,1.11112,1.14021,1.14399,1.10385,1.01176,0.859092,0.695259,0.657135,0.652478,0.649991,0.645092,0.928759,0.899424,0.872685,0.848565,0.826521,0.807529,0.791929,0.779834,0.771137,0.766655
regional_emissions,WAF,2.01021,3.20988,3.52589,3.02334,2.52079,2.36323,2.40484,1.90229,1.39974,0.897183,0.39463,-0.107923,-0.610476,-1.11303,-1.61558,-2.11813,-2.62068,-2.55421,-2.75607,-2.88876,-2.97772,-3.04312,-3.08503,-3.11049,-3.12191,-3.12616,-3.12547
regional_emissions,EAF,0.295096,0.487406,0.649894,0.717592,0.780237,0.914169,1.06604,1.12096,1.04719,0.973413,0.899639,0.825866,0.752092,0.678319,0.604546,0.530774,0.457004,0.383364,0.309859,0.237492,0.191076,0.160792,0.139437,0.124537,0.115351,0.110099,0.109088
regional_emissions,SAF,0.561438,0.471147,0.478848,0.485191,0.48297,0.463358,0.414155,0.331901,0.225009,0.0993892,-0.0407999,-0.181111,-0.321418,-0.318498,-0.283991,-0.246007,-0.211707,0.0316223,0.029632,0.0262066,0.0221022,0.0176616,0.0136621,0.0103294,0.00778903,0.00601652,0.00519442
regional_emissions,WEU,3.41053,2.5579,2.44272,2.47057,2.53565,2.60696,2.62064,2.51842,2.24752,1.78465,1.15531,0.360362,-0.4922,-0.52287,-0.386646,-0.244852,-0.0779714,2.2672,2.48729,2.69987,2.89635,3.07387,3.23205,3.36774,3.47838,3.56213,3.61073
regional_emissions,CEU,0.813811,0.618134,0.589194,0.574457,0.555232,0.519181,0.468883,0.404886,0.317885,0.204539,0.0740265,-0.0674566,-0.219596,-0.216523,-0.192668,-0.172384,-0.155061,0.130765,0.132874,0.134448,0.13543,0.135722,0.135966,0.136353,0.136843,0.137396,0.138049
regional_emissions,TUR,0.445556,0.410166,0.427905,0.436392,0.435756,0.426888,0.409223,0.381827,0.342452,0.289453,0.222298,0.142915,0.0544102,0.0531689,0.0644246,0.0751108,0.082776,0.229768,0.221504,0.213104,0.204884,0.196973,0.189943,0.184006,0.179196,0.175708,0.173812
regional_emissions,UKR,0.450763,0.38773,0.387465,0.395026,0.38175,0.334092,0.278157,0.229837,0.174811,0.10667,0.0366628,-0.0277822,-0.0887606,-0.0888717,-0.0808042,-0.0717719,-0.064333,0.0408557,0.03693,0.0322674,0.0272085,0.0218731,0.0167965,0.0122929,0.00850343,0.00557849,0.00389275
regional_emissions,STAN,0.515832,0.507622,0.525478,0.519566,0.494554,0.460931,0.434699,0.423057,0.404284,0.3639,0.322549,0.293524,0.257004,0.252931,0.248513,0.247599,0.247566,0.316667,0.305084,0.294525,0.285088,0.276329,0.26862,0.262257,0.257235,0.253559,0.251559
regional_emissions,RUS,2.00639,1.77812,1.79277,1.72366,1.5918,1.43066,1.26349,1.10163,0.940169,0.76557,0.55976,0.331355,0.10763,0.116152,0.155292,0.191802,0.219363,0.593243,0.578779,0.562045,0.544331,0.526324,0.509733,0.495431,0.483701,0.474827,0.469782
regional_emissions,ME,2.17542,2.04535,2.21931,2.3933,2.50822,2.52584,2.46805,2.35588,2.17619,1.91635,1.58038,1.17291,0.688465,0.682245,0.740693,0.792301,0.834094,1.83799,1.83085,1.82287,1.81375,1.80388,1.79583,1.78984,1.78585,1.78396,1.78472
regional_emissions,INDIA,2.90969,3.33501,4.06168,4.76926,5.40961,5.89634,5.17338,4.44596,3.71853,2.99111,2.26369,1.53626,0.80884,0.0814169,-0.646005,-1.37343,-2.10084,0.199585,-0.0426967,-0.273368,-0.489364,-0.693958,-0.874392,-1.02457,-1.14557,-1.23725,-1.29137
regional_emissions,KOR,0.811501,0.608627,0.548992,0.497414,0.436413,0.372099,0.304389,0.233004,0.157765,0.07812,-0.00788141,-0.100734,-0.197622,-0.186333,-0.161158,-0.139019,-0.119645,0.0712425,0.0774321,0.0823613,0.0861472,0.0888467,0.0909785,0.0926277,0.0938743,0.0948826,0.0954845
regional_emissions,CHN,11.8239,8.86791,7.55489,5.97422,3.95428,1.78802,-0.248414,-2.03174,-3.60935,-5.04047,-6.29807,-7.32516,-8.17726,-7.26927,-6.32396,-5.58296,-5.00988,-2.26215,-2.16127,-2.13587,-2.1624,-2.22388,-2.30142,-2.38212,-2.45541,-2.512,-2.53696
regional_emissions,SEAS,1.60742,1.71846,1.99549,2.19828,2.30763,2.31599,2.2051,1.95789,1.55606,1.15421,0.752362,0.35051,-0.0513414,-0.453169,-0.496117,-0.464525,-0.442942,0.518077,0.446138,0.377329,0.312578,0.251216,0.196898,0.151296,0.114486,0.086728,0.0707161
regional_emissions,INDO,1.76787,1.62849,1.67837,1.7304,1.69129,1.50815,1.22128,0.833012,0.391056,-0.0509079,-0.492873,-0.934837,-1.3768,-1.59471,-1.54456,-1.48144,-1.42692,-0.574442,-0.603864,-0.636203,-0.669922,-0.704839,-0.737444,-0.765985,-0.789944,-0.808809,-0.820525
regional_emissions,JAP,1.11392,0.835438,0.604654,0.557753,0.495849,0.408238,0.294003,0.1533,-0.0159066,-0.211549,-0.426371,-0.651656,-0.887679,-0.886369,-0.858716,-0.838567,-0.82285,-0.312357,-0.308294,-0.304835,-0.30245,-0.301348,-0.300391,-0.299832,-0.299333,-0.299121,-0.299604
regional_emissions,OCE,0.441868,0.331401,0.220935,0.164446,0.138133,0.0648698,-0.0455915,-0.156057,-0.266522,-0.376988,-0.487455,-0.597921,-0.708386,-0.81885,-0.929305,-1.0061,-0.988079,-0.547016,-0.539566,-0.529123,-0.517838,-0.507592,-0.498065,-0.489664,-0.482837,-0.477993,-0.475928
regional_emissions,RSAS,0.448757,0.576063,0.770001,1.00523,1.2668,1.53556,1.79128,2.00461,1.97373,1.86155,1.74936,1.63717,1.52498,1.41279,1.30061,1.18842,1.07624,1.80274,1.7266,1.6567,1.59178,1.53068,1.47706,1.43197,1.39525,1.36714,1.35059
regional_emissions,RSAF,0.977975,0.863479,0.898086,1.1878,1.48759,1.55731,1.44776,1.2766,1.1652,1.14151,1.03633,0.791856,0.547371,0.373675,0.306317,0.231996,0.167679,0.818646,0.781947,0.755607,0.735676,0.720924,0.711182,0.704581,0.700689,0.698534,0.697892
baseline,CAN,0.560427,0.617703,0.695468,0.777512,0.8352,0.851786,0.870511,0.93709,1.04715,1.1755,1.26373,1.26686,1.2267,1.20142,1.22777,1.32346,1.45145,1.57021,1.67513,1.76982,1.85407,1.92692,1.98828,2.03838,2.07775,2.10647,2.12249
baseline,USA,5.77138,5.81206,5.92676,6.21133,6.6218,7.09132,7.60151,8.15074,8.75603,9.41948,10.065,10.6253,11.1477,11.708,12.3821,13.2158,14.1338,15.0413,15.8855,16.6331,17.2868,17.8557,18.3378,18.7306,19.0385,19.2633,19.3888
baseline,MEX,0.63438,0.685441,0.758894,0.862237,0.978915,1.08781,1.17359,1.22718,1.25878,1.27814,1.27411,1.23725,1.18583,1.14078,1.10584,1.07948,1.0562,1.03122,1.00656,0.985182,0.966853,0.950785,0.937069,0.925924,0.917213,0.910848,0.907286
baseline,RCAM,0.318526,0.369759,0.451051,0.557957,0.674619,0.786594,0.896529,1.00442,1.08258,1.10726,1.09817,1.07949,1.04967,1.00659,0.971356,0.962749,0.96684,0.96623,0.962324,0.959932,0.95871,0.957368,0.956001,0.954955,0.954194,0.953624,0.953291
baseline,BRA,1.87327,2.26329,2.57906,2.78376,3.07836,3.57149,3.76457,3.24501,2.55111,2.27284,2.25581,2.23225,2.22501,2.284,2.2765,2.07904,1.78781,1.52522,1.29912,1.09307,0.908169,0.748796,0.614956,0.505556,0.419481,0.356727,0.321744
baseline,RSAM,1.53231,1.80824,2.04175,2.20969,2.47797,2.94955,3.2864,3.18809,2.94557,2.89255,2.94254,2.9367,2.84709,2.6888,2.51812,2.38446,2.26853,2.14321,2.01895,1.91136,1.81928,1.73852,1.66953,1.61349,1.5697,1.53769,1.51978
baseline,NAF,0.655464,0.781874,0.932839,1.11023,1.28789,1.44377,1.60025,1.78076,1.96862,2.13807,2.26732,2.34015,2.35861,2.33249,2.28407,2.23405,2.18432,2.13332,2.08457,2.04182,2.00477,1.97243,1.94492,1.92254,1.90502,1.89223,1.88508
baseline,WAF,2.01021,3.51781,4.2338,3.57722,2.88841,3.44678,4.36665,4.65047,5.01824,6.28899,7.96033,9.36857,10.5262,11.547,12.2742,12.576,12.6916,12.8802,13.1089,13.2945,13.4428,13.5764,13.6932,13.7873,13.8602,13.9136,13.9436
baseline,EAF,0.295096,0.517256,0.708381,0.812277,0.930259,1.16846,1.49477,1.86472,2.32254,2.9036,3.51907,4.07381,4.57172,5.01348,5.28772,5.31065,5.22068,5.17126,5.15364,5.12896,5.10001,5.07718,5.05978,5.04503,5.03297,5.02429,5.01956
baseline,SAF,0.561438,0.629228,0.700924,0.794072,0.906715,1.02877,1.13715,1.21215,1.26054,1.29207,1.30179,1.28466,1.25007,1.20796,1.15617,1.09175,1.02072,0.950543,0.885277,0.827472,0.77692,0.732934,0.695652,0.66528,0.641473,0.624093,0.614384
baseline,WEU,3.41053,3.51377,3.72872,4.09137,4.61409,5.28843,6.04598,6.80189,7.46536,7.96953,8.34925,8.66059,8.94255,9.2362,9.60782,10.1035,10.6632,11.2118,11.7186,12.1686,12.5629,12.9058,13.1961,13.4328,13.6183,13.7537,13.8294
baseline,CEU,0.813811,0.837372,0.874748,0.946529,1.03143,1.10501,1.17211,1.23923,1.29038,1.31087,1.3138,1.31403,1.30582,1.28341,1.26145,1.25428,1.25446,1.25187,1.24747,1.24421,1.24188,1.23969,1.23769,1.2361,1.23489,1.234,1.2335
baseline,TUR,0.445556,0.503135,0.557732,0.609752,0.660252,0.710222,0.759726,0.808109,0.852757,0.89002,0.914071,0.921048,0.917142,0.908962,0.894736,0.872216,0.84565,0.819994,0.796564,0.775674,0.757295,0.741338,0.727843,0.716841,0.708209,0.701909,0.698391
baseline,UKR,0.450763,0.474747,0.512995,0.576654,0.626547,0.628252,0.616683,0.628816,0.640529,0.622363,0.584599,0.545528,0.51573,0.500704,0.493313,0.485238,0.476043,0.467058,0.458773,0.451413,0.444957,0.439346,0.434595,0.430724,0.427687,0.425471,0.424233
baseline,STAN,0.515832,0.568923,0.616702,0.643097,0.649082,0.643121,0.646594,0.673512,0.695497,0.6878,0.682564,0.709695,0.733237,0.715763,0.679825,0.654633,0.636053,0.614545,0.592282,0.573287,0.557265,0.543134,0.531002,0.521164,0.513493,0.507883,0.504739
