Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,CAN,0.038904,0.0419514,0.0451395,0.0483266,0.0516132,0.0551267,0.0588594,0.0627485,0.066645,0.0704039,0.0739803,0.0773403,0.0803929,0.0830341,0.0851624,0.086763,0.0881646,0.0896739,0.0911667,0.0924604,0.0935685,0.0945401,0.0953698,0.0960439,0.0965706,0.0969556,0.0971711
population,USA,0.349791,0.370561,0.392506,0.414694,0.437261,0.46062,0.485213,0.511292,0.53831,0.565592,0.592742,0.619402,0.645087,0.669204,0.690844,0.709605,0.727411,0.745991,0.763977,0.779681,0.793231,0.805079,0.815171,0.823377,0.829797,0.834487,0.837111
population,MEX,0.121886,0.124667,0.126376,0.127194,0.127111,0.126096,0.124221,0.121615,0.118537,0.115247,0.111873,0.108474,0.104943,0.101148,0.09702,0.0925445,0.0878504,0.0831299,0.0786809,0.0747594,0.0713453,0.0683697,0.0658436,0.0637869,0.0621758,0.0609993,0.0603419
population,RCAM,0.0906754,0.0920307,0.0925746,0.0925028,0.091819,0.0904997,0.0886027,0.086228,0.0835611,0.0807772,0.0779221,0.0750069,0.0720315,0.0689905,0.0658659,0.0626421,0.0593244,0.0559652,0.052783,0.0499832,0.0475499,0.0454277,0.043625,0.0421576,0.0410085,0.0401693,0.0397002
population,BRA,0.208089,0.212317,0.215122,0.216579,0.216728,0.215594,0.213178,0.209498,0.204686,0.198899,0.192296,0.185011,0.177093,0.168553,0.159348,0.149476,0.139168,0.128785,0.118988,0.110356,0.102845,0.0962966,0.0907368,0.0862104,0.082665,0.080076,0.0786291
population,RSAM,0.215347,0.221215,0.225515,0.228469,0.229997,0.229997,0.228576,0.22591,0.222233,0.217765,0.21259,0.206745,0.200183,0.19284,0.184648,0.175622,0.166101,0.156546,0.147554,0.139624,0.132717,0.126697,0.121588,0.117428,0.114169,0.11179,0.11046
population,NAF,0.189802,0.19692,0.202503,0.206881,0.210043,0.211893,0.212343,0.211369,0.20921,0.206122,0.202162,0.197363,0.191859,0.185796,0.179261,0.172336,0.165145,0.157887,0.151029,0.144989,0.139736,0.135156,0.131266,0.1281,0.12562,0.123809,0.122797
population,WAF,0.51699,0.566471,0.615346,0.663154,0.70844,0.749704,0.786268,0.817831,0.844794,0.867563,0.885875,0.899445,0.908549,0.913441,0.913737,0.90951,0.903311,0.897713,0.892885,0.888488,0.884544,0.881144,0.878288,0.875954,0.874118,0.872779,0.872033
population,EAF,0.320153,0.348226,0.374804,0.399777,0.422508,0.442345,0.459113,0.472818,0.483717,0.492046,0.497702,0.50056,0.500758,0.498442,0.493559,0.48628,0.477889,0.469722,0.462218,0.455543,0.449681,0.444589,0.440279,0.436766,0.434011,0.432,0.430877
population,SAF,0.0554384,0.0578651,0.0600695,0.0619501,0.0635095,0.0647613,0.0656581,0.0661438,0.0661872,0.0657683,0.0648886,0.0635672,0.061872,0.0598783,0.0576413,0.0552163,0.0526783,0.0501241,0.0477154,0.0455927,0.043745,0.0421345,0.0407672,0.039654,0.0387821,0.0381453,0.0377895
population,WEU,0.434458,0.449229,0.464967,0.481281,0.498314,0.516263,0.535019,0.55426,0.573118,0.590766,0.60707,0.622024,0.635421,0.647021,0.656633,0.664359,0.67142,0.678896,0.686207,0.692568,0.698037,0.702826,0.70691,0.710229,0.712825,0.714721,0.715782
population,CEU,0.126763,0.126872,0.126858,0.126633,0.12633,0.126087,0.12584,0.125461,0.124777,0.123653,0.122148,0.120349,0.118247,0.115836,0.113201,0.11044,0.107591,0.104709,0.101982,0.0995808,0.0974937,0.0956738,0.0941279,0.0928696,0.0918841,0.0911644,0.0907621
population,TUR,0.083324,0.0859362,0.0880113,0.0896356,0.0907351,0.091221,0.0911059,0.0904382,0.0893085,0.0877995,0.0859214,0.0836811,0.0811443,0.0783761,0.0753781,0.0721551,0.0687869,0.0653952,0.0621956,0.0593763,0.0569226,0.0547838,0.0529679,0.0514894,0.0503314,0.0494857,0.0490131
population,UKR,0.055215,0.053834,0.0526781,0.0517307,0.0508682,0.0499676,0.0490133,0.0480067,0.0469085,0.0456723,0.0442636,0.0426649,0.0409148,0.0390623,0.037143,0.0351818,0.0331742,0.0311375,0.0292054,0.0275064,0.0260304,0.024743,0.0236491,0.0227588,0.0220616,0.0215525,0.0212679
population,STAN,0.0659491,0.0667981,0.0670493,0.0668895,0.0663148,0.06529,0.0638439,0.0620404,0.0600205,0.0579162,0.0557473,0.0535093,0.0512127,0.0488855,0.0466112,0.0444488,0.0423046,0.0401037,0.0379979,0.0361518,0.0345526,0.0331563,0.0319687,0.0310024,0.030246,0.0296936,0.0293847
population,RUS,0.158239,0.157443,0.156662,0.156064,0.155382,0.154306,0.152786,0.150834,0.148448,0.145595,0.142124,0.137918,0.133098,0.12784,0.122285,0.116541,0.110636,0.104655,0.0989871,0.0940011,0.0896681,0.0858891,0.0826788,0.0800657,0.0780193,0.0765249,0.0756895
population,ME,0.259917,0.278984,0.296498,0.312696,0.327099,0.339136,0.348602,0.355446,0.359891,0.362167,0.362277,0.360211,0.356145,0.350249,0.342475,0.332921,0.322471,0.312117,0.302467,0.293927,0.286464,0.279969,0.274462,0.269976,0.26646,0.263893,0.262459
population,INDIA,1.34946,1.40171,1.44538,1.48127,1.50861,1.52638,1.53421,1.53191,1.5194,1.49676,1.46456,1.42352,1.37452,1.31861,1.25736,1.19239,1.12496,1.0569,0.992568,0.935922,0.886653,0.843697,0.807217,0.777519,0.754259,0.737274,0.72778
population,KOR,0.0754445,0.0766457,0.0775912,0.0781624,0.078335,0.078124,0.0776078,0.0768721,0.0759691,0.0749186,0.073644,0.0720994,0.0704572,0.0688922,0.0673702,0.0658193,0.0642257,0.0626112,0.0610813,0.0597353,0.0585657,0.0575456,0.056679,0.0559736,0.0554212,0.0550178,0.0547923
population,CHN,1.41114,1.41084,1.40029,1.37983,1.34987,1.31104,1.26474,1.21254,1.15589,1.09627,1.03531,0.974336,0.913312,0.852032,0.79097,0.7304,0.66911,0.606668,0.54725,0.495056,0.449763,0.410239,0.376647,0.349308,0.327903,0.31227,0.303531
population,SEAS,0.38922,0.400917,0.40967,0.41566,0.418736,0.418763,0.416015,0.410875,0.403761,0.395038,0.384834,0.373218,0.360253,0.34603,0.33075,0.314643,0.297952,0.281094,0.265155,0.251121,0.238917,0.228276,0.219238,0.211881,0.206119,0.201912,0.19956
population,INDO,0.257901,0.26438,0.268954,0.271801,0.272834,0.271936,0.269154,0.264602,0.258522,0.251179,0.242818,0.233667,0.223907,0.213718,0.203302,0.192806,0.182123,0.171263,0.160944,0.151876,0.144002,0.137132,0.131294,0.126543,0.122823,0.120106,0.118587
population,JAP,0.127482,0.127046,0.126416,0.125645,0.124817,0.12402,0.123331,0.122747,0.121949,0.120647,0.118959,0.117067,0.114998,0.112773,0.110523,0.108365,0.106222,0.104023,0.10192,0.100076,0.0984789,0.0970841,0.095898,0.0949328,0.0941773,0.0936255,0.093317
population,OCE,0.0350397,0.0381815,0.0414072,0.0446201,0.0478904,0.0513048,0.0548504,0.0584686,0.0620147,0.06535,0.0684441,0.0712788,0.0737749,0.0758481,0.0774551,0.0786238,0.079628,0.0807177,0.081801,0.0827381,0.0835394,0.0842424,0.0848431,0.0853311,0.0857123,0.0859909,0.0861469
population,RSAS,0.481276,0.504644,0.524275,0.540169,0.552098,0.559821,0.563291,0.562649,0.558614,0.551919,0.542786,0.53134,0.517816,0.502496,0.485741,0.467926,0.449416,0.430738,0.413091,0.39755,0.384032,0.372246,0.362237,0.354089,0.347707,0.343047,0.340442
population,RSAF,0.167015,0.181326,0.195023,0.207943,0.21963,0.229658,0.238012,0.244806,0.250234,0.254458,0.25744,0.259128,0.259622,0.259006,0.257121,0.253932,0.250139,0.246486,0.243156,0.240186,0.23757,0.2353,0.233381,0.231816,0.230588,0.229692,0.229192
regional_emissions,CAN,0.560427,0.42032,0.41094,0.426408,0.410471,0.36361,0.321432,0.297158,0.279703,0.254349,0.204348,0.127568,0.0375605,-0.0621781,-0.142863,-0.13217,-0.128858,0.165582,0.171304,0.175829,0.179336,0.181979,0.183925,0.185317,0.186285,0.186922,0.187281
regional_emissions,USA,5.77138,4.32853,3.33475,3.21296,3.02207,2.74677,2.47606,2.20068,1.89612,1.52894,1.04547,0.410755,-0.404144,-1.45544,-2.3944,-2.32257,-2.31639,0.657979,0.640722,0.619063,0.594927,0.570904,0.548376,0.528286,0.511414,0.498529,0.490947
regional_emissions,MEX,0.63438,0.475785,0.382821,0.39061,0.375925,0.332642,0.276944,0.21209,0.141316,0.0649465,-0.0196352,-0.110494,-0.206559,-0.312536,-0.389504,-0.358653,-0.336733,-0.0861547,-0.0879835,-0.0895928,-0.0909985,-0.0921182,-0.0929878,-0.0936669,-0.0941828,-0.0945453,-0.0947302
regional_emissions,RCAM,0.318526,0.238895,0.250947,0.284738,0.302602,0.29774,0.283321,0.26063,0.222215,0.166364,0.0998671,0.0237934,-0.0557849,-0.135383,-0.204513,-0.185499,-0.174661,0.0289524,0.0255103,0.0224128,0.0196566,0.0172564,0.0152237,0.0135588,0.0122467,0.0112868,0.0107842
regional_emissions,BRA,1.87327,1.40495,0.936636,0.468319,1.55844e-06,-0.468315,-0.936629,-1.27532,-1.2628,-1.36027,-1.60166,-1.86271,-2.17472,-2.28399,-2.27649,-2.07904,-1.7878,-1.25792,-1.0799,-0.915116,-0.765173,-0.634379,-0.523413,-0.431932,-0.35946,-0.306346,-0.276635
regional_emissions,RSAM,1.53231,1.14923,0.766153,0.38308,0.109671,-0.227652,-0.609178,-0.903589,-1.11164,-1.36743,-1.69341,-2.02675,-2.33988,-2.62603,-2.51811,-2.38446,-2.26852,-1.45997,-1.38742,-1.32395,-1.26914,-1.22026,-1.17791,-1.14319,-1.11587,-1.09577,-1.08448
regional_emissions,NAF,0.655464,0.587734,0.672956,0.768829,0.841904,0.880305,0.912907,0.952664,0.986137,0.997155,0.973021,0.907057,0.801657,0.661951,0.547719,0.560815,0.564824,0.8338,0.810218,0.789547,0.771641,0.756123,0.743014,0.73238,0.724075,0.718025,0.714662
regional_emissions,WAF,2.01021,1.66629,1.73357,1.24552,0.768197,0.595362,0.135693,-0.366859,-0.869411,-1.37196,-1.87452,-2.37707,-2.87962,-3.38218,-3.88473,-4.38728,-4.88983,-3.75104,-3.87803,-3.98883,-4.08424,-4.16957,-4.24372,-4.30453,-4.35239,-4.38761,-4.40752
regional_emissions,EAF,0.295096,0.293447,0.364482,0.377016,0.368898,0.345216,0.271444,0.197671,0.123898,0.0501241,-0.0236496,-0.0974232,-0.171197,-0.24497,-0.318744,-0.392517,-0.466289,-0.318059,-0.336441,-0.352565,-0.366448,-0.37857,-0.388895,-0.397281,-0.403831,-0.408612,-0.411065
regional_emissions,SAF,0.561438,0.421079,0.325124,0.324148,0.302445,0.256083,0.197172,0.127353,0.0498437,-0.034814,-0.128348,-0.229367,-0.337996,-0.457002,-0.535303,-0.481877,-0.435697,-0.163789,-0.156243,-0.149202,-0.142758,-0.136871,-0.131675,-0.127315,-0.123816,-0.121216,-0.119735
regional_emissions,WEU,3.41053,2.5579,2.44726,2.53936,2.64301,2.74236,2.84248,2.89996,2.86928,2.72342,2.46972,2.11799,1.66052,1.07592,0.597773,0.768612,0.910504,2.7867,2.88127,2.96211,3.03043,3.08837,3.1364,3.17469,3.20417,3.22542,3.23711
regional_emissions,CEU,0.813811,0.610359,0.512804,0.514241,0.500947,0.464506,0.424388,0.383345,0.333918,0.271961,0.199922,0.118882,0.0255905,-0.0817712,-0.162797,-0.140948,-0.126901,0.119279,0.114835,0.110868,0.107365,0.10431,0.101717,0.0995972,0.0979294,0.0967094,0.0960341
regional_emissions,TUR,0.445556,0.349731,0.366935,0.379512,0.379495,0.369862,0.359029,0.346663,0.330164,0.306836,0.273339,0.228441,0.173731,0.109573,0.0595221,0.0700531,0.0757598,0.206636,0.198608,0.191508,0.185308,0.179986,0.17553,0.171922,0.169105,0.167059,0.165931
regional_emissions,UKR,0.450763,0.338073,0.302224,0.315141,0.306565,0.266651,0.226047,0.197569,0.169087,0.132583,0.0924396,0.052839,0.0136576,-0.0281618,-0.0597535,-0.0507375,-0.0444755,0.0474671,0.0451552,0.0431088,0.0413191,0.0397888,0.0385121,0.0374793,0.0366735,0.0360883,0.0357703
regional_emissions,STAN,0.515832,0.428086,0.445412,0.445939,0.424988,0.392886,0.369708,0.361259,0.349444,0.321886,0.294101,0.276397,0.250682,0.204679,0.164584,0.165816,0.165897,0.241322,0.231297,0.222744,0.215525,0.209216,0.203843,0.199502,0.196125,0.193662,0.19229
regional_emissions,RUS,2.00639,1.60877,1.67469,1.68449,1.60938,1.47822,1.34847,1.23822,1.14632,1.06065,0.942877,0.777004,0.600903,0.435192,0.315864,0.337526,0.347387,0.653701,0.63347,0.615492,0.599719,0.58615,0.574766,0.565528,0.558305,0.553051,0.550118
regional_emissions,ME,2.17542,1.70995,1.85466,2.01899,2.10379,2.08263,2.02547,1.95357,1.85522,1.71677,1.52827,1.28212,0.966084,0.566768,0.243109,0.326896,0.381985,1.36253,1.34493,1.32858,1.31366,1.30079,1.28997,1.28108,1.27405,1.26892,1.26603
regional_emissions,INDIA,2.90969,2.23055,2.63417,3.0431,3.30439,3.36546,3.26259,2.54956,1.82214,1.09472,0.367299,-0.360124,-1.08755,-1.81497,-2.54239,-3.26981,-3.78269,-0.281664,-0.320679,-0.352376,-0.377839,-0.397413,-0.412094,-0.422938,-0.430741,-0.43601,-0.438874
regional_emissions,KOR,0.811501,0.608626,0.529205,0.499407,0.447516,0.386543,0.331242,0.28042,0.231831,0.183288,0.131511,0.0746482,0.0117307,-0.0575952,-0.108301,-0.0941795,-0.0855149,0.0712758,0.0684424,0.0659386,0.0637464,0.0618267,0.0601917,0.0588554,0.0578047,0.0570353,0.0566085
regional_emissions,CHN,11.8239,8.86791,7.36585,7.11073,6.22504,4.87738,3.57794,2.43516,1.42001,0.492566,-0.388146,-1.22544,-2.02759,-2.83456,-3.34065,-2.98659,-2.734,-0.762108,-0.745527,-0.729775,-0.715275,-0.700636,-0.686691,-0.674634,-0.664769,-0.657258,-0.653004
regional_emissions,SEAS,1.60742,1.24115,1.41006,1.53702,1.55938,1.48487,1.36365,1.20377,1.02315,0.820914,0.563332,0.228891,-0.172856,-0.574677,-0.934526,-0.820818,-0.738406,0.228245,0.205744,0.186294,0.16965,0.155678,0.144215,0.135084,0.128053,0.123003,0.120203
regional_emissions,INDO,1.76787,1.3259,1.16822,1.22913,1.20998,1.08176,0.922282,0.758605,0.592623,0.412755,0.195044,-0.05844,-0.333431,-0.636311,-0.85631,-0.772495,-0.711286,-0.0320697,-0.0415616,-0.0497165,-0.0566624,-0.0623741,-0.0669654,-0.0705801,-0.0733376,-0.0752988,-0.0763839
regional_emissions,JAP,1.11392,0.835438,0.637477,0.628138,0.593551,0.52773,0.45598,0.380435,0.296345,0.200614,0.0916534,-0.0297602,-0.165019,-0.32198,-0.448667,-0.425207,-0.41391,-0.0214362,-0.0286204,-0.0354128,-0.0417096,-0.0473354,-0.0522053,-0.0562751,-0.0595333,-0.0619428,-0.0632964
regional_emissions,OCE,0.441868,0.331401,0.220935,0.18837,0.176641,0.132379,0.0701229,0.00269148,-0.0639097,-0.144251,-0.243807,-0.354216,-0.464675,-0.575138,-0.685601,-0.7627,-0.748691,-0.395654,-0.411102,-0.424305,-0.435428,-0.445467,-0.454263,-0.46146,-0.467109,-0.471272,-0.473576
regional_emissions,RSAS,0.448757,0.385273,0.491272,0.616607,0.727593,0.808059,0.871754,0.79123,0.679042,0.566854,0.454665,0.342476,0.230287,0.118098,0.00590961,-0.106278,-0.218464,0.497131,0.479406,0.462327,0.446309,0.432188,0.420102,0.410021,0.401959,0.396019,0.392842
regional_emissions,RSAF,0.977975,0.733481,0.607814,0.776307,0.921162,0.903351,0.800162,0.686059,0.620701,0.614161,0.583744,0.478111,0.313862,0.0830852,-0.130821,-0.0758936,-0.0372399,0.629256,0.622592,0.615014,0.607068,0.600433,0.595039,0.590501,0.586831,0.584154,0.58268
baseline,CAN,0.560427,0.617703,0.695468,0.777512,0.8352,0.851786,0.870511,0.93709,1.04715,1.1755,1.26373,1.26686,1.2267,1.20142,1.22777,1.32346,1.45145,1.57021,1.67513,1.76982,1.85407,1.92692,1.98828,2.03838,2.07775,2.10647,2.12249
baseline,USA,5.77138,5.81206,5.92676,6.21133,6.6218,7.09132,7.60151,8.15074,8.75603,9.41948,10.065,10.6253,11.1477,11.708,12.3821,13.2158,14.1338,15.0413,15.8855,16.6331,17.2868,17.8557,18.3378,18.7306,19.0385,19.2633,19.3888
baseline,MEX,0.63438,0.685441,0.758894,0.862237,0.978915,1.08781,1.17359,1.22718,1.25878,1.27814,1.27411,1.23725,1.18583,1.14078,1.10584,1.07948,1.0562,1.03122,1.00656,0.985182,0.966853,0.950785,0.937069,0.925924,0.917213,0.910848,0.907286
baseline,RCAM,0.318526,0.369759,0.451051,0.557957,0.674619,0.786594,0.896529,1.00442,1.08258,1.10726,1.09817,1.07949,1.04967,1.00659,0.971356,0.962749,0.96684,0.96623,0.962324,0.959932,0.95871,0.957368,0.956001,0.954955,0.954194,0.953624,0.953291
baseline,BRA,1.87327,2.26329,2.57906,2.78376,3.07836,3.57149,3.76457,3.24501,2.55111,2.27284,2.25581,2.23225,2.22501,2.284,2.2765,2.07904,1.78781,1.52522,1.29912,1.09307,0.908169,0.748796,0.614956,0.505556,0.419481,0.356727,0.321744
baseline,RSAM,1.53231,1.80824,2.04175,2.20969,2.47797,2.94955,3.2864,3.18809,2.94557,2.89255,2.94254,2.9367,2.84709,2.6888,2.51812,2.38446,2.26853,2.14321,2.01895,1.91136,1.81928,1.73852,1.66953,1.61349,1.5697,1.53769,1.51978
baseline,NAF,0.655464,0.781874,0.932839,1.11023,1.28789,1.44377,1.60025,1.78076,1.96862,2.13807,2.26732,2.34015,2.35861,2.33249,2.28407,2.23405,2.18432,2.13332,2.08457,2.04182,2.00477,1.97243,1.94492,1.92254,1.90502,1.89223,1.88508
baseline,WAF,2.01021,3.51781,4.2338,3.57722,2.88841,3.44678,4.36665,4.65047,5.01824,6.28899,7.96033,9.36857,10.5262,11.547,12.2742,12.576,12.6916,12.8802,13.1089,13.2945,13.4428,13.5764,13.6932,13.7873,13.8602,13.9136,13.9436
baseline,EAF,0.295096,0.517256,0.708381,0.812277,0.930259,1.16846,1.49477,1.86472,2.32254,2.9036,3.51907,4.07381,4.57172,5.01348,5.28772,5.31065,5.22068,5.17126,5.15364,5.12896,5.10001,5.07718,5.05978,5.04503,5.03297,5.02429,5.01956
baseline,SAF,0.561438,0.629228,0.700924,0.794072,0.906715,1.02877,1.13715,1.21215,1.26054,1.29207,1.30179,1.28466,1.25007,1.20796,1.15617,1.09175,1.02072,0.950543,0.885277,0.827472,0.77692,0.732934,0.695652,0.66528,0.641473,0.624093,0.614384
baseline,WEU,3.41053,3.51377,3.72872,4.09137,4.61409,5.28843,6.04598,6.80189,7.46536,7.96953,8.34925,8.66059,8.94255,9.2362,9.60782,10.1035,10.6632,11.2118,11.7186,12.1686,12.5629,12.9058,13.1961,13.4328,13.6183,13.7537,13.8294
baseline,CEU,0.813811,0.837372,0.874748,0.946529,1.03143,1.10501,1.17211,1.23923,1.29038,1.31087,1.3138,1.31403,1.30582,1.28341,1.26145,1.25428,1.25446,1.25187,1.24747,1.24421,1.24188,1.23969,1.23769,1.2361,1.23489,1.234,1.2335
baseline,TUR,0.445556,0.503135,0.557732,0.609752,0.660252,0.710222,0.759726,0.808109,0.852757,0.89002,0.914071,0.921048,0.917142,0.908962,0.894736,0.872216,0.84565,0.819994,0.796564,0.775674,0.757295,0.741338,0.727843,0.716841,0.708209,0.701909,0.698391
baseline,UKR,0.450763,0.474747,0.512995,0.576654,0.626547,0.628252,0.616683,0.628816,0.640529,0.622363,0.584599,0.545528,0.51573,0.500704,0.493313,0.485238,0.476043,0.467058,0.458773,0.451413,0.444957,0.439346,0.434595,0.430724,0.427687,0.425471,0.424233
baseline,STAN,0.515832,0.568923,0.616702,0.643097,0.649082,0.643121,0.646594,0.673512,0.695497,0.6878,0.682564,0.709695,0.733237,0.715763,0.679825,0.654633,0.636053,0.614545,0.592282,0.573287,0.557265,0.543134,0.531002,0.521164,0.513493,0.507883,0.504739
