Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,INDO,0.263414,0.275121,0.285518,0.294177,0.301137,0.306525,0.310352,0.312642,0.313594,0.313466,0.312585,0.311262,0.309682,0.307987,0.306269,0.304584,0.302891,0.301161,0.299512,0.298064,0.296809,0.295713,0.294781,0.294023,0.29343,0.292996,0.292754
population,JAP,0.12424,0.120717,0.116438,0.111722,0.106728,0.101565,0.0962996,0.0909664,0.0855193,0.0799405,0.0744063,0.0691071,0.0640939,0.0593805,0.0549713,0.0508237,0.046718,0.042501,0.0384646,0.0349263,0.0318619,0.0291859,0.0269099,0.0250581,0.0236086,0.0225498,0.0219579
population,OCE,0.0332397,0.0345379,0.0355784,0.0364285,0.0371151,0.0376488,0.0380166,0.0382023,0.0382016,0.0380157,0.0376578,0.0371427,0.0364799,0.0356801,0.0347633,0.0337548,0.032694,0.0316283,0.0306247,0.0297398,0.0289692,0.0282977,0.0277277,0.0272635,0.0269,0.0266345,0.0264861
population,RSAS,0.504818,0.551349,0.598277,0.643822,0.689225,0.735826,0.782334,0.827085,0.869542,0.909709,0.948633,0.98738,1.02605,1.0644,1.10184,1.13805,1.17429,1.21136,1.24674,1.27779,1.3047,1.3282,1.34817,1.36443,1.37715,1.38645,1.39165
population,RSAF,0.176346,0.199764,0.224715,0.250637,0.277515,0.305332,0.3335,0.361389,0.388754,0.415489,0.441652,0.467318,0.492475,0.517017,0.540554,0.562916,0.585119,0.607898,0.629685,0.648788,0.665337,0.679787,0.692076,0.702075,0.709902,0.715619,0.718815
regional_emissions,CAN,0.510176,0.382632,0.255088,0.127544,0.0117184,-0.043692,-0.0922341,-0.137373,-0.184016,-0.231436,-0.276052,-0.311931,-0.298396,-0.262212,-0.232007,-0.237542,-0.262261,-0.279025,-0.290117,-0.302426,-0.315508,-0.327336,-0.337972,-0.34792,-0.35714,-0.365453,-0.372698
regional_emissions,USA,5.51298,4.13473,2.75649,1.37824,7.29059e-08,-0.974637,-1.33728,-1.66928,-1.97502,-2.27051,-2.53399,-2.7356,-2.9025,-3.07688,-3.1106,-3.09617,-3.06958,-2.62028,-2.56074,-2.50697,-2.45978,-2.41972,-2.38741,-2.36336,-2.34849,-2.34236,-2.34821
regional_emissions,MEX,0.714309,0.535732,0.3798,0.359314,0.331278,0.279175,0.222244,0.171993,0.121157,0.0636056,-0.0017767,-0.0757035,-0.157706,-0.246265,-0.343468,-0.455064,-0.583081,-0.277149,-0.303877,-0.326702,-0.346177,-0.362947,-0.377058,-0.388641,-0.397784,-0.404291,-0.408116
regional_emissions,RCAM,0.329563,0.269536,0.278239,0.276474,0.269057,0.259128,0.248539,0.23683,0.219424,0.191696,0.14979,0.0674135,-0.0149767,-0.0973672,-0.179758,-0.262148,-0.344539,-0.219663,-0.278944,-0.332229,-0.37963,-0.421928,-0.458855,-0.490237,-0.516275,-0.536732,-0.550795
regional_emissions,BRA,1.96872,1.47654,0.984362,0.492181,0.184461,0.076787,-0.0589494,-0.214828,-0.338869,-0.418033,-0.477433,-0.560792,-0.670635,-0.781301,-0.879663,-0.959409,-1.02896,-0.557292,-0.529935,-0.504769,-0.482212,-0.462504,-0.445581,-0.431429,-0.419711,-0.410002,-0.40304
regional_emissions,RSAM,1.54095,1.15572,0.770477,0.385239,0.11612,-0.0744147,-0.307718,-0.568735,-0.839643,-1.12641,-1.44164,-1.82244,-2.20767,-2.59291,-2.97815,-3.36339,-3.61486,-3.055,-3.23228,-3.38582,-3.51902,-3.63608,-3.73751,-3.82382,-3.89635,-3.95504,-3.99897
regional_emissions,NAF,0.630862,0.623856,0.67186,0.700405,0.715491,0.723642,0.73691,0.762921,0.792933,0.817716,0.838434,0.855512,0.859942,0.844568,0.810933,0.760695,0.694434,0.993689,1.01487,1.03386,1.05072,1.06582,1.07901,1.09021,1.09961,1.10719,1.11262
regional_emissions,WAF,2.56083,3.15688,3.38241,2.80391,2.17564,2.0883,2.05059,1.62603,1.23115,1.22648,1.37055,1.41388,1.35876,1.23493,1.02991,0.71142,0.253093,1.24499,1.15951,1.07538,0.997202,0.926698,0.865969,0.817144,0.781072,0.757724,0.750616
regional_emissions,EAF,0.372906,0.481149,0.563595,0.568236,0.539913,0.521409,0.496456,0.451533,0.429412,0.463849,0.523569,0.579069,0.648881,0.738139,0.789711,0.765741,0.6987,0.960022,0.988757,1.01186,1.03062,1.04766,1.06284,1.07565,1.0864,1.09525,1.10195
regional_emissions,SAF,0.578294,0.43372,0.289147,0.242439,0.22167,0.202986,0.178379,0.144737,0.105261,0.062133,0.0154989,-0.0348182,-0.0887118,-0.14598,-0.207199,-0.273448,-0.345577,-0.176703,-0.196541,-0.213816,-0.228838,-0.242106,-0.253691,-0.263554,-0.271774,-0.278577,-0.283743
regional_emissions,WEU,3.19935,2.39951,1.59968,1.02356,0.847622,0.690643,0.513685,0.302053,0.0704437,-0.167226,-0.397741,-0.617263,-0.826863,-1.01945,-1.2003,-1.35867,-1.40939,-1.04384,-1.09833,-1.14769,-1.19223,-1.23227,-1.26779,-1.29815,-1.32404,-1.34556,-1.3616
regional_emissions,CEU,0.812224,0.609168,0.406112,0.305716,0.256525,0.20569,0.15155,0.0946714,0.0365,-0.02308,-0.0817339,-0.13613,-0.185763,-0.231421,-0.276141,-0.323963,-0.375056,-0.224178,-0.234052,-0.242687,-0.250202,-0.256753,-0.262392,-0.266961,-0.270666,-0.273515,-0.275348
regional_emissions,TUR,0.472509,0.374368,0.373693,0.36136,0.347067,0.335434,0.325008,0.313302,0.297757,0.276857,0.25217,0.225143,0.196109,0.164427,0.127659,0.0840795,0.0338551,0.2174,0.220318,0.22341,0.226434,0.229332,0.232012,0.234304,0.236253,0.237996,0.239248
regional_emissions,UKR,0.425941,0.320127,0.304844,0.299264,0.291517,0.271938,0.249729,0.231211,0.208434,0.175519,0.137558,0.0997268,0.062595,0.0250967,-0.0142745,-0.0572902,-0.104788,-0.0100101,-0.0257238,-0.0395683,-0.0517178,-0.0624959,-0.0719053,-0.0799166,-0.0866836,-0.0922173,-0.0963137
regional_emissions,STAN,0.544784,0.505817,0.523602,0.522396,0.514061,0.508931,0.510083,0.516362,0.517144,0.50424,0.487075,0.47368,0.45604,0.426485,0.386483,0.338986,0.286847,0.412108,0.400752,0.391268,0.383362,0.376777,0.37139,0.367102,0.363748,0.361328,0.359932
regional_emissions,RUS,1.99201,1.49425,1.43879,1.33146,1.20722,1.08752,0.975055,0.869002,0.77771,0.698653,0.603341,0.480884,0.358521,0.251933,0.149127,0.0385668,-0.0832673,0.291085,0.275313,0.261466,0.249183,0.237877,0.227448,0.217945,0.208824,0.199982,0.191307
regional_emissions,ME,2.10267,1.59893,1.58375,1.61694,1.65871,1.66723,1.65181,1.62458,1.57947,1.51254,1.4445,1.38908,1.33002,1.24895,1.13661,0.986271,0.796121,1.65354,1.711,1.76368,1.81165,1.85541,1.89438,1.92809,1.95611,1.97877,1.99481
regional_emissions,INDIA,3.00527,2.927,3.14376,3.21382,3.2582,3.35529,3.46538,3.53968,3.5713,3.55665,3.48209,3.34116,3.14807,2.91264,2.62839,2.28198,1.85923,3.5814,3.66298,3.73796,3.80644,3.86835,3.92406,3.9736,4.01602,4.05222,4.08101
regional_emissions,KOR,0.79076,0.59307,0.39538,0.201332,0.125628,0.0565493,-0.00679611,-0.0635931,-0.112907,-0.155074,-0.190491,-0.21917,-0.241203,-0.25714,-0.268406,-0.277039,-0.268667,-0.202611,-0.19504,-0.188086,-0.181838,-0.176164,-0.171163,-0.166989,-0.160938,-0.15594,-0.154075
regional_emissions,CHN,11.4778,8.60834,5.73889,2.86945,1.73513,0.681919,-0.316961,-1.2011,-1.97614,-2.70665,-3.39383,-4.00668,-4.52962,-4.96702,-5.37545,-5.82802,-6.31194,-4.0043,-3.93748,-3.87451,-3.81708,-3.76343,-3.71472,-3.67275,-3.63632,-3.60622,-3.58452
regional_emissions,SEAS,1.58683,1.44684,1.58446,1.66515,1.6404,1.49397,1.34624,1.28221,1.23872,1.15192,1.0242,0.869072,0.700197,0.515176,0.289422,0.0123656,-0.306253,0.389361,0.312244,0.244768,0.186539,0.136192,0.0936967,0.0593739,0.0321849,0.0121669,0.000826297
