Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140
population,JAP,0.125184,0.122573,0.119388,0.115864,0.112075,0.108072,0.103959,0.0998098,0.0955182,0.0909842,0.0863129,0.0816257,0.076904,0.0721303,0.0674305,0.0629014,0.0583816,0.0537532,0.0493326,0.0454546,0.0420935,0.0391592,0.0366641,0.0346339,0.0330445
population,OCE,0.0339278,0.0359204,0.0377717,0.0394759,0.0410453,0.0424918,0.0438088,0.0449777,0.0459492,0.0466754,0.0471434,0.0473504,0.0472979,0.0469794,0.0463497,0.0453988,0.0442966,0.043226,0.0422436,0.0413693,0.0406012,0.039934,0.0393694,0.0389091,0.0385482
population,RSAS,0.497804,0.537333,0.576018,0.612677,0.648311,0.683929,0.718423,0.750436,0.779743,0.806574,0.831846,0.856449,0.880477,0.903762,0.925861,0.946587,0.967042,0.988075,1.00822,1.02588,1.04117,1.05452,1.06588,1.07512,1.08235
population,RSAF,0.175841,0.198709,0.222952,0.248036,0.273967,0.30073,0.327701,0.354224,0.380122,0.405367,0.430048,0.454251,0.477942,0.500988,0.522987,0.543765,0.564341,0.585471,0.605695,0.623423,0.638778,0.652186,0.66359,0.672869,0.680132
regional_emissions,CAN,0.472864,0.354648,0.236432,0.17375,0.130682,0.082059,0.042006,0.0121345,-0.0193729,-0.0584766,-0.102512,-0.144232,-0.175637,-0.191739,-0.195713,-0.22444,-0.276196,-0.201307,-0.222344,-0.241395,-0.258281,-0.272658,-0.282164,-0.289287,-0.295086
regional_emissions,USA,5.08017,3.81013,2.54009,1.27004,0.27538,-0.0665712,-0.391557,-0.709628,-1.01267,-1.28721,-1.54209,-1.8187,-2.15919,-2.58281,-2.83322,-3.07098,-3.30352,-2.31983,-2.38424,-2.43152,-2.46443,-2.48918,-2.48679,-2.47717,-2.46907
regional_emissions,MEX,0.556216,0.417162,0.358498,0.321647,0.282821,0.246971,0.198464,0.133654,0.0671271,0.00276687,-0.0640646,-0.128995,-0.190086,-0.254751,-0.322146,-0.383973,-0.440801,-0.20335,-0.205618,-0.20557,-0.203953,-0.201783,-0.197787,-0.193719,-0.19032
regional_emissions,RCAM,0.307379,0.26784,0.275151,0.268285,0.254091,0.242763,0.23839,0.240651,0.237926,0.222826,0.202892,0.183911,0.162743,0.136375,0.104515,0.0673074,0.0251233,0.234076,0.246118,0.257946,0.269259,0.279818,0.291114,0.301346,0.309924
regional_emissions,BRA,1.56929,1.17697,0.784648,0.583108,0.452322,0.263391,0.016769,-0.200168,-0.306465,-0.38175,-0.545388,-0.850653,-1.14342,-1.1701,-0.873625,-0.685743,-0.598965,-0.471931,-0.324297,-0.202971,-0.104572,-0.0164779,-0.060218,-0.122101,-0.170082
regional_emissions,RSAM,1.41277,1.05958,0.706387,0.498875,0.355844,0.236121,0.0410723,-0.19269,-0.368816,-0.507304,-0.685467,-0.965815,-1.25087,-1.35905,-1.2723,-1.22278,-1.27131,-1.09899,-1.12191,-1.14513,-1.16821,-1.18539,-1.19055,-1.19247,-1.19407
regional_emissions,NAF,0.636133,0.639421,0.684636,0.712757,0.722245,0.718372,0.717361,0.729577,0.737731,0.72415,0.685603,0.625363,0.553675,0.477598,0.395961,0.306826,0.209241,0.496765,0.479876,0.46574,0.454138,0.444251,0.438914,0.435551,0.433286
regional_emissions,WAF,2.31181,2.72613,2.97988,2.82454,2.5892,2.53484,2.23984,1.66188,1.08393,0.925511,1.11566,1.31839,1.43007,1.42369,1.36931,1.32952,1.29301,1.70579,1.76847,1.82872,1.88518,1.93614,1.98405,2.02529,2.05887
regional_emissions,EAF,0.353374,0.460655,0.541357,0.549565,0.509963,0.453293,0.382288,0.301506,0.24661,0.244296,0.262201,0.270753,0.300865,0.375869,0.441993,0.45102,0.433143,0.490811,0.504834,0.515381,0.523046,0.530597,0.53816,0.544434,0.549365
regional_emissions,SAF,0.491935,0.368952,0.323287,0.269771,0.220399,0.188891,0.160494,0.124765,0.0825575,0.0374765,-0.00608507,-0.0463243,-0.0836599,-0.118795,-0.149511,-0.171316,-0.184184,-0.0624724,-0.0565895,-0.0495346,-0.0418022,-0.033915,-0.0259983,-0.0189235,-0.0130133
regional_emissions,WEU,3.02598,2.26949,1.513,1.25846,1.05789,0.918833,0.796709,0.651723,0.451196,0.199364,-0.0591261,-0.307203,-0.547503,-0.769827,-0.890398,-0.94499,-1.02466,-0.533739,-0.564589,-0.590253,-0.611077,-0.627759,-0.630075,-0.628279,-0.625588
regional_emissions,CEU,0.760393,0.570295,0.41186,0.3558,0.303187,0.249665,0.197687,0.147724,0.0920081,0.0300754,-0.0291781,-0.0857473,-0.140135,-0.183089,-0.220054,-0.273026,-0.33483,-0.136973,-0.147877,-0.158537,-0.168675,-0.178047,-0.184256,-0.189092,-0.192986
regional_emissions,TUR,0.423751,0.348067,0.333685,0.308918,0.283741,0.267183,0.254065,0.238937,0.218996,0.193176,0.163427,0.132509,0.103921,0.0770585,0.0457666,0.00913812,-0.0284909,0.099076,0.0928176,0.0875303,0.0831241,0.0795228,0.0775679,0.0763533,0.0755501
regional_emissions,UKR,0.412367,0.310473,0.286261,0.279786,0.26623,0.231886,0.192967,0.161476,0.12818,0.0878389,0.0479335,0.0124825,-0.0208842,-0.0534471,-0.0854501,-0.118936,-0.155705,-0.0429823,-0.0513795,-0.059117,-0.0661478,-0.0727205,-0.0775456,-0.0815061,-0.08489
regional_emissions,STAN,0.452766,0.43982,0.455721,0.43799,0.398658,0.356938,0.328657,0.319697,0.304036,0.265561,0.23849,0.245114,0.248841,0.221067,0.181316,0.147992,0.117417,0.210187,0.200157,0.19191,0.185242,0.179403,0.17514,0.171953,0.169604
regional_emissions,RUS,1.78339,1.42538,1.36729,1.24686,1.09522,0.951668,0.808359,0.663971,0.542226,0.447346,0.344225,0.222674,0.109861,0.0126921,-0.0817588,-0.174566,-0.263137,0.0904603,0.0747659,0.0615249,0.0506397,0.0414638,0.0364038,0.0329421,0.0303575
regional_emissions,ME,2.1014,1.85879,1.9601,2.04441,2.09756,2.12337,2.11704,2.08048,2.01316,1.91065,1.76597,1.58621,1.41883,1.28534,1.13395,0.926382,0.680643,1.81169,1.8823,1.95254,2.02023,2.08502,2.1542,2.21644,2.26864
regional_emissions,INDIA,2.73772,2.77848,3.0211,3.15097,3.23467,3.33538,3.40185,3.38382,3.26603,3.03482,2.66725,2.17084,1.59918,0.92407,0.239655,-0.444765,-1.12918,0.971448,0.786148,0.626222,0.490552,0.372824,0.291919,0.230498,0.182641
regional_emissions,KOR,0.743365,0.557524,0.376211,0.29721,0.217847,0.149349,0.0874083,0.030422,-0.0211892,-0.067602,-0.108717,-0.143497,-0.173226,-0.201901,-0.23163,-0.234867,-0.239284,-0.144644,-0.147333,-0.150537,-0.154043,-0.15789,-0.160528,-0.162796,-0.16489
regional_emissions,CHN,10.3365,7.75235,5.3677,3.91893,2.45575,1.18757,0.0629187,-0.954443,-1.906,-2.78956,-3.51249,-3.95914,-4.18493,-4.36587,-4.61254,-4.99188,-5.09903,-2.91235,-2.89252,-2.90218,-2.9343,-2.983,-3.02253,-3.0645,-3.10671
regional_emissions,SEAS,1.51886,1.39465,1.52843,1.69372,1.71336,1.49682,1.27179,1.22269,1.22263,1.15294,1.08368,1.06481,1.00373,0.845447,0.670487,0.533613,0.404792,1.0191,1.02645,1.03746,1.05102,1.06345,1.07917,1.09435,1.10777
regional_emissions,INDO,1.64013,1.35529,1.26734,1.18003,1.0781,0.95757,0.829343,0.702166,0.568588,0.418699,0.245415,0.0560729,-0.134979,-0.324841,-0.511621,-0.691633,-0.871723,-0.261898,-0.301902,-0.336624,-0.366402,-0.393203,-0.411598,-0.42615,-0.438309
regional_emissions,JAP,1.0724,0.804298,0.536199,0.2681,0.134308,0.052907,-0.0275076,-0.112184,-0.199874,-0.283083,-0.353445,-0.406544,-0.449427,-0.4747,-0.467785,-0.467972,-0.470121,-0.390689,-0.395086,-0.400597,-0.406804,-0.413721,-0.418501,-0.422876,-0.427172
regional_emissions,OCE,0.303225,0.227419,0.151613,0.0758069,2.94587e-06,-0.0595212,-0.0966027,-0.127042,-0.163468,-0.21798,-0.281645,-0.335674,-0.384099,-0.389718,-0.396533,-0.400399,-0.402489,-0.405169,-0.408401,-0.411026,-0.413175,-0.415087,-0.41673,-0.418042,-0.419042
regional_emissions,RSAS,0.452158,0.494681,0.556052,0.6111,0.653483,0.682181,0.718197,0.77817,0.84099,0.884399,0.914144,0.940166,0.963578,0.983036,0.995875,1.00019,0.99893,1.17977,1.21979,1.25589,1.28804,1.31676,1.34294,1.365,1.38271
regional_emissions,RSAF,0.860255,0.645192,0.671469,1.22705,1.23341,1.01835,0.803281,0.588218,0.427915,0.373992,0.392874,0.532017,0.657327,0.656188,0.619274,0.640915,0.688272,0.877142,0.942367,1.00412,1.06141,1.11158,1.15569,1.19276,1.2225
baseline,CAN,0.472864,0.480992,0.50459,0.5277,0.519898,0.464093,0.411014,0.410914,0.444341,0.47816,0.494214,0.480538,0.43493,0.367857,0.330694,0.365248,0.434177,0.491726,0.53766,0.580772,0.620447,0.654335,0.682537,0.705666,0.72393
baseline,USA,5.08017,4.82556,4.59297,4.44715,4.36762,4.31681,4.27385,4.21612,4.09712,3.89321,3.69611,3.60738,3.65245,3.82126,4.03795,4.23078,4.41052,4.59937,4.78309,4.94321,5.08114,5.20183,5.30468,5.38831,5.45371
baseline,MEX,0.556216,0.58534,0.609958,0.622452,0.638333,0.668926,0.685675,0.663832,0.633746,0.626313,0.61952,0.588978,0.553718,0.535308,0.522042,0.498733,0.469533,0.441879,0.417024,0.394733,0.375016,0.357932,0.343511,0.331745,0.322507
baseline,RCAM,0.307379,0.34615,0.381853,0.398415,0.404833,0.415496,0.441292,0.486187,0.529959,0.554358,0.573208,0.602908,0.638089,0.669622,0.695101,0.714692,0.732117,0.750765,0.769133,0.785073,0.798746,0.810729,0.820956,0.829266,0.835762
baseline,BRA,1.56929,1.62738,1.74908,1.99692,2.28437,2.47355,2.37036,1.8743,1.31557,1.04986,1.10406,1.36662,1.50102,1.2469,0.873626,0.685743,0.598966,0.47199,0.324305,0.202977,0.104577,0.0164829,-0.0602195,-0.122103,-0.170084
baseline,RSAM,1.41277,1.56541,1.63067,1.59517,1.67157,2.0062,2.25396,2.0856,1.72656,1.48599,1.45303,1.60484,1.69077,1.50794,1.2723,1.22278,1.27131,1.28393,1.27032,1.26637,1.26952,1.27014,1.26893,1.26845,1.26853
baseline,NAF,0.636133,0.729478,0.812685,0.881044,0.932225,0.969743,1.01812,1.09704,1.18593,1.25816,1.30321,1.31907,1.32147,1.32606,1.33042,1.32953,1.32598,1.32335,1.32154,1.31973,1.31799,1.31652,1.31532,1.31433,1.31355
baseline,WAF,2.31181,3.02232,3.3884,3.2825,3.07246,3.06943,2.86261,2.09568,1.35224,1.2435,1.55131,1.90576,2.15947,2.25813,2.29705,2.37943,2.49017,2.59278,2.6833,2.76504,2.8378,2.9007,2.95368,2.99694,3.03093
baseline,EAF,0.353374,0.49223,0.586866,0.60302,0.566116,0.509006,0.434575,0.347332,0.288243,0.290156,0.316993,0.333782,0.378916,0.484599,0.584944,0.614761,0.609743,0.617764,0.634542,0.64642,0.654382,0.662088,0.669261,0.674915,0.679181
baseline,SAF,0.491935,0.532783,0.539097,0.510507,0.482724,0.488049,0.509058,0.520399,0.514731,0.491507,0.459351,0.427664,0.399808,0.375704,0.347566,0.308633,0.263957,0.220412,0.180348,0.144726,0.113461,0.0862929,0.0632953,0.0445516,0.0298517
baseline,WEU,3.02598,2.92131,2.81243,2.69388,2.64034,2.72286,2.91805,3.16145,3.31899,3.28925,3.17128,3.07565,2.95881,2.77709,2.6406,2.65278,2.73671,2.79549,2.83282,2.87143,2.9097,2.94156,2.96737,2.98875,3.00581
baseline,CEU,0.760393,0.738063,0.715373,0.713698,0.717095,0.708086,0.700378,0.70641,0.702375,0.667678,0.630822,0.618122,0.598032,0.542061,0.491793,0.489657,0.511407,0.524642,0.531021,0.538568,0.546712,0.553302,0.55848,0.562819,0.566325
baseline,TUR,0.423751,0.45424,0.466611,0.461985,0.455477,0.46122,0.475422,0.490235,0.499527,0.499048,0.490365,0.478594,0.477219,0.494131,0.506463,0.492408,0.465142,0.442232,0.423822,0.406589,0.390766,0.377239,0.365973,0.356737,0.349445
baseline,UKR,0.412367,0.402912,0.404498,0.433893,0.458792,0.448612,0.428718,0.427294,0.427852,0.410455,0.386067,0.369027,0.3563,0.342871,0.33319,0.33182,0.334326,0.335426,0.335462,0.33581,0.336371,0.336777,0.337053,0.337297,0.337507
baseline,STAN,0.452766,0.508659,0.555478,0.56389,0.54304,0.512812,0.497564,0.510273,0.513905,0.480101,0.465191,0.518349,0.5754,0.568798,0.530853,0.506495,0.49129,0.472275,0.451726,0.434444,0.420076,0.407334,0.396338,0.387438,0.380512
baseline,RUS,1.78339,1.92277,2.02792,2.0459,2.0014,1.92999,1.83337,1.71908,1.65201,1.67456,1.68195,1.57873,1.45392,1.4055,1.38287,1.31923,1.23161,1.151,1.08034,1.01638,0.959324,0.91004,0.868563,0.834687,0.808056
baseline,ME,2.1014,2.38371,2.67341,2.96659,3.24121,3.47567,3.66826,3.82165,3.93617,4.0076,4.01588,3.9645,3.96684,4.11601,4.31405,4.45012,4.55276,4.67041,4.79147,4.89496,4.98243,5.05952,5.12566,5.1793,5.22114
baseline,INDIA,2.73772,3.28596,3.78239,4.19101,4.6015,5.10346,5.66042,6.21371,6.74193,7.21971,7.56859,7.73757,7.83866,7.96936,8.00633,7.82888,7.54784,7.29939,7.08935,6.89659,6.72255,6.57287,6.44745,6.34485,6.26406
